recipe_id,recipe_title,style,style_group,year,stage_number,stage,start_temp_F,end_temp_F,duration_days,ramp_per_day_F
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,2,Secondary,68.0,68.0,9.0,
32,Columbus Pale Ale,PALE ALE,IPA,,1,Primary,68.0,68.0,9.0,
32,Columbus Pale Ale,PALE ALE,IPA,,2,Secondary,68.0,68.0,9.0,
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,AMBER_ALE,,1,Primary,63.0,64.0,3.0,
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,AMBER_ALE,,2,Secondary,68.0,68.0,7.0,
35,Stale Doughnut Belgian Pale Ale,BELGIAN ALE,BELGIAN,2020.0,1,Primary,68.0,68.0,,
36,Kumquat Citra Sour,FRUIT BEER,OTHER,2020.0,1,Primary,68.0,68.0,0.0,
36,Kumquat Citra Sour,FRUIT BEER,OTHER,2020.0,2,Secondary,68.0,68.0,0.0,
36,Kumquat Citra Sour,FRUIT BEER,OTHER,2020.0,3,Ageing with fruit,68.0,68.0,180.0,
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,1,primary,66.0,66.0,14.0,
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,2,secondary,66.0,66.0,5.0,
40,Surly Coffee Bender,BROWN ALE,BROWN_ALE,2020.0,1,Primary,67.0,,,
41,Avocado Saison,BELGIAN ALE,BELGIAN,2019.0,1,Primary,67.0,67.0,,
41,Avocado Saison,BELGIAN ALE,BELGIAN,2019.0,2,Secondary,67.0,67.0,14.0,
42,Saison Tropicale,BELGIAN ALE,BELGIAN,2012.0,1,Primary,70.0,80.0,21.0,
43,Monroe Weiss,BERLINER WEISSE,SOUR,2018.0,1,primary,90.0,90.0,5.0,
44,Cariño Sour,BERLINER WEISSE,SOUR,2016.0,1,Primary,85.0,,7.0,
44,Cariño Sour,BERLINER WEISSE,SOUR,2016.0,2,Fermentation with fruit,,,28.0,
45,Golden Goblet Gruit Ale,HISTORICAL BEER,OTHER,2011.0,1,Primary,,,,
46,Dubious Dubbel,BELGIAN ALE,BELGIAN,2012.0,1,Primary,68.0,70.0,,
47,Mild Ale #3,AMBER ALE,AMBER_ALE,2013.0,1,Primary,62.0,62.0,14.0,
49,Solstice American Stout,AMERICAN STOUT,STOUT,2020.0,1,Primary,65.0,65.0,7.0,
49,Solstice American Stout,AMERICAN STOUT,STOUT,2020.0,2,Secondary,68.0,68.0,2.0,
50,One-Ply Rye IPA,AMERICAN IPA,IPA,2020.0,1,primary,64.0,64.0,14.0,
51,Tim’s Sweet Stout,STOUT,STOUT,2019.0,1,Primary,67.0,67.0,,
52,Pangaea Proxima Polar IPA,AMERICAN IPA,IPA,2020.0,1,Primary,95.0,100.0,,
53,Espresso Stout,COFFEE BEER,OTHER,2010.0,1,Primary,68.0,68.0,,
55,Tuxedo Speedo Black IPA,IPA,IPA,2013.0,1,Fermentation,68.0,68.0,,
56,Stone-Faced IPA,AMERICAN IPA,IPA,2017.0,1,Primary,64.0,,10.0,
56,Stone-Faced IPA,AMERICAN IPA,IPA,2017.0,2,Secondary,64.0,,0.0,
57,Jack’s Classic American Pilsner,AMERICAN PILSNER,LAGER,2020.0,1,Primary,50.0,50.0,14.0,
58,Double White IPA,IMPERIAL / DOUBLE IPA,IPA,2020.0,1,Primary,66.0,66.0,14.0,
58,Double White IPA,IMPERIAL / DOUBLE IPA,IPA,2020.0,2,Dry hop,,,4.0,
59,Toto Stout,STOUT,STOUT,2020.0,1,Primary,68.0,68.0,14.0,
60,Atahsaia Barleywine,BARLEYWINE,STRONG_ALE,2015.0,1,Primary,68.0,68.0,14.0,
61,Thames Porter,AMERICAN PORTER,PORTER,2014.0,1,Primary,68.0,68.0,14.0,
62,Bruce Stott’s Dortmunder Export,HELLES,OTHER,2007.0,1,Primary,50.0,50.0,13.0,
62,Bruce Stott’s Dortmunder Export,HELLES,OTHER,2007.0,2,Secondary,50.0,50.0,26.0,
63,WTG? Stout,STOUT,STOUT,2020.0,1,Primary,,,14.0,
64,Piwo Jopejskie,FARMHOUSE BEER,BELGIAN,2020.0,1,Primary,63.0,,,
66,Traditional Berliner Weisse,BERLINER WEISSE,SOUR,2020.0,1,Primary,68.0,77.0,60.0,0.72
67,Chess with Checkers,BELGIAN ALE,BELGIAN,2019.0,1,Primary,68.0,68.0,14.0,
67,Chess with Checkers,BELGIAN ALE,BELGIAN,2019.0,2,Ramp up,68.0,68.5,7.0,0.5
68,Leicht,PALE LAGER,LAGER,2019.0,1,Primary,54.0,60.0,7.0,0.0
68,Leicht,PALE LAGER,LAGER,2019.0,2,Rest at 60\u00b0F,60.0,60.0,2.0,
69,Distemper Sour Ale,SOUR ALE,SOUR,2019.0,1,Primary,,,,
72,Newtonian ESB,ENGLISH PALE ALE,IPA,2015.0,1,Primary,68.0,68.0,4.0,0.0
72,Newtonian ESB,ENGLISH PALE ALE,IPA,2015.0,2,Diacetyl Rest,70.0,70.0,2.0,0.0
72,Newtonian ESB,ENGLISH PALE ALE,IPA,2015.0,3,Conditioning,35.0,35.0,14.0,0.0
73,Majestic Sea Cow American Pale Ale,AMERICAN PALE ALE,IPA,2019.0,1,Primary,,,,
74,Triple-X,STOUT,STOUT,,1,Primary,68.0,68.0,14.0,
76,Rogue Chocolate Stout Clone,SPICE & HERB BEER,OTHER,2009.0,1,Primary,60.0,60.0,7.0,
76,Rogue Chocolate Stout Clone,SPICE & HERB BEER,OTHER,2009.0,2,Secondary,50.0,55.0,7.0,
77,Future Forward Sour Saison,BELGIAN ALE,BELGIAN,2019.0,1,Primary,73.0,73.0,14.0,
78,Peppermint Porter,COFFEE BEER,OTHER,2019.0,1,Primary,64.0,,,
79,Mike’s Mild,BROWN ALE,BROWN_ALE,2019.0,1,Primary,67.0,67.0,,
80,Wry Smile Rye IPA,IPA,IPA,2019.0,1,Primary,65.0,65.0,,
81,Valhalla Honey Beer,BRAGGOT,OTHER,2019.0,1,Primary,65.0,65.0,14.0,
81,Valhalla Honey Beer,BRAGGOT,OTHER,2019.0,2,Fermentation with honey addition,65.0,65.0,4.0,
81,Valhalla Honey Beer,BRAGGOT,OTHER,2019.0,3,Secondary or conditioning,65.0,65.0,3.0,
82,Chomolungma Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2019.0,1,Primary,65.0,,7.0,
83,Klosterman,HYBRID BEER,OTHER,2019.0,1,Primary,55.0,55.0,14.0,
84,Holiday Pumpkin Ale,SPICE & HERB BEER,OTHER,2008.0,1,Primary,68.0,,7.0,
84,Holiday Pumpkin Ale,SPICE & HERB BEER,OTHER,2008.0,2,Secondary,68.0,,14.0,
85,Schwarzer Geist Dark Lager,DARK LAGER,LAGER,2019.0,1,Primary,50.0,55.0,7.0,
85,Schwarzer Geist Dark Lager,DARK LAGER,LAGER,2019.0,2,Ramp to Final,55.0,60.0,14.0,
86,Barrel-Aged Mark of the Beast Doppelbock,BOCK,LAGER,2019.0,1,Primary,51.0,60.0,21.0,
86,Barrel-Aged Mark of the Beast Doppelbock,BOCK,LAGER,2019.0,2,Lag,60.0,36.0,30.0,-3.0
87,Four-Two-Oh NEIPA,HAZY / NEW ENGLAND IPA,IPA,2019.0,1,primary,66.0,72.0,4.0,1.0
88,Briess RoastOat Red,ENGLISH IPA,IPA,2019.0,1,Primary,66.0,66.0,,
89,Princesse Beer 1866,HISTORICAL BEER,OTHER,2019.0,1,Primary,63.0,63.0,14.0,
91,Joker’s #1 Light Lager,AMERICAN LAGER,LAGER,2019.0,1,Primary,51.0,51.0,7.0,
91,Joker’s #1 Light Lager,AMERICAN LAGER,LAGER,2019.0,2,Free Rise,51.0,62.0,5.0,
91,Joker’s #1 Light Lager,AMERICAN LAGER,LAGER,2019.0,3,Cooling/ Lagering,62.0,32.0,7.0,
92,Old Helen Helles Exportbier,HELLES,OTHER,2019.0,1,Primary,50.0,65.0,10.0,
92,Old Helen Helles Exportbier,HELLES,OTHER,2019.0,2,Conditioning,65.0,,10.0,
93,SunRaker German Pils,GERMAN PILSNER,LAGER,2019.0,1,Primary,50.0,50.0,14.0,
93,SunRaker German Pils,GERMAN PILSNER,LAGER,2019.0,2,Ramp up,50.0,58.0,2.0,4.0
93,SunRaker German Pils,GERMAN PILSNER,LAGER,2019.0,3,Room temp hold,58.0,58.0,,
94,Winnebago International Amber Lager,Amber Lager,LAGER,2019.0,1,Primary,50.0,68.0,7.0,
95,May the Schwartz Be With You,DARK LAGER,LAGER,2019.0,1,Primary,50.0,50.0,10.0,
95,May the Schwartz Be With You,DARK LAGER,LAGER,2019.0,2,Ramp to 65F,50.0,65.0,2.0,7.5
95,May the Schwartz Be With You,DARK LAGER,LAGER,2019.0,3,Hold at 65F,65.0,65.0,2.0,
95,May the Schwartz Be With You,DARK LAGER,LAGER,2019.0,4,Cold Crash,65.0,50.0,2.0,-7.5
96,Four the Win (FTW) Belgian Dark Strong,BELGIAN ALE,BELGIAN,2019.0,1,Primary,67.0,67.0,,
97,Tropic Sun Sour,FRUIT BEER,OTHER,2019.0,1,Primary,70.0,70.0,3.0,
97,Tropic Sun Sour,FRUIT BEER,OTHER,2019.0,2,Secondary,65.0,65.0,7.0,
98,Richard’s Brownie Batter Imperial Stout,IMPERIAL STOUT,STOUT,2019.0,1,Primary,66.0,66.0,3.0,
98,Richard’s Brownie Batter Imperial Stout,IMPERIAL STOUT,STOUT,2019.0,2,Ramp,66.0,72.0,5.0,0.6
98,Richard’s Brownie Batter Imperial Stout,IMPERIAL STOUT,STOUT,2019.0,3,Fermentation,66.0,66.0,28.0,
99,Blootered Bastart Barrel-aged Wee Heavy,AMBER ALE,AMBER_ALE,2019.0,1,Primary,68.0,,14.0,
100,Catharina’s Passion Sour,FRUIT BEER,OTHER,2019.0,1,Primary,65.0,,5.0,
100,Catharina’s Passion Sour,FRUIT BEER,OTHER,2019.0,2,Fruit Additions,,,,
100,Catharina’s Passion Sour,FRUIT BEER,OTHER,2019.0,3,Finish,,,,
101,Angie’s Bursting Citra II (AKA Juice),AMERICAN PALE ALE,IPA,2017.0,1,Primary,68.0,72.0,7.0,
101,Angie’s Bursting Citra II (AKA Juice),AMERICAN PALE ALE,IPA,2017.0,2,Secondary,,,7.0,
102,Pickelhaube Festbier,MARZEN,OTHER,2016.0,1,Primary fermentation,48.0,50.0,7.0,
102,Pickelhaube Festbier,MARZEN,OTHER,2016.0,2,Diacetyl rest,50.0,55.0,3.0,
102,Pickelhaube Festbier,MARZEN,OTHER,2016.0,3,Lagering,35.0,35.0,60.0,
104,Three Floyds Brewing Zombie Dust IPA Clone,IPA,IPA,2019.0,1,Primary,62.0,67.0,7.0,
104,Three Floyds Brewing Zombie Dust IPA Clone,IPA,IPA,2019.0,2,Crash,67.0,42.0,10.0,
105,Cigar City Jai Alai IPA Classic Clone,IPA,IPA,2019.0,1,Primary,65.0,65.0,7.0,
105,Cigar City Jai Alai IPA Classic Clone,IPA,IPA,2019.0,2,Diacetyl Rest and Lower Temperature,65.0,34.0,14.0,-2.0
106,Curse Stout,CHOCOLATE BEER,OTHER,2019.0,1,Primary,68.0,,14.0,
107,Boscos Famous Flaming Stone,HISTORICAL BEER,OTHER,2019.0,1,Primary,48.0,48.0,14.0,
107,Boscos Famous Flaming Stone,HISTORICAL BEER,OTHER,2019.0,2,Diacetyl Rest,59.0,59.0,3.0,
107,Boscos Famous Flaming Stone,HISTORICAL BEER,OTHER,2019.0,3,Lagering,34.0,34.0,28.0,
108,Saison Capitale,BELGIAN ALE,BELGIAN,2019.0,1,Primary,67.0,71.0,3.0,
108,Saison Capitale,BELGIAN ALE,BELGIAN,2019.0,2,Hold,71.0,71.0,6.0,
109,Tropicalia Catharina Sour,FRUIT BEER,OTHER,2019.0,1,Primary,66.0,,12.0,
110,We Don’t Need No Stinkin’ IBUs,AMERICAN PALE ALE,IPA,2019.0,1,primary,,,18.0,
110,We Don’t Need No Stinkin’ IBUs,AMERICAN PALE ALE,IPA,2019.0,2,dry hopping,,,3.0,
113,Austrian Expat Dark Mexican Lager,DARK LAGER,LAGER,2017.0,1,Primary,50.0,55.0,10.0,
113,Austrian Expat Dark Mexican Lager,DARK LAGER,LAGER,2017.0,2,Diacetyl rest,60.0,60.0,2.0,
113,Austrian Expat Dark Mexican Lager,DARK LAGER,LAGER,2017.0,3,Lagering,35.0,35.0,30.0,
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,1,Primary,62.0,62.0,5.0,0.0
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,2,Rising Temperatures,48.0,62.0,3.0,4.67
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,3,Lag Phase,52.0,52.0,1.0,
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,4,Final Attenuation,57.0,57.0,1.0,
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,5,Cold Crash,32.0,32.0,,
115,Trappist Tripel,BELGIAN ALE,BELGIAN,2019.0,1,Primary,62.0,70.0,5.0,
115,Trappist Tripel,BELGIAN ALE,BELGIAN,2019.0,2,Secondary/Conditioning,72.0,72.0,7.0,
117,Aztec-style Brown Ale,BROWN ALE,BROWN_ALE,2016.0,1,Primary,67.0,67.0,14.0,
118,Two Blue Dogs Barleywine,BARLEYWINE,STRONG_ALE,2011.0,1,Primary,65.0,,14.0,
118,Two Blue Dogs Barleywine,BARLEYWINE,STRONG_ALE,2011.0,2,Secondary,45.0,,90.0,
119,Battlecow Galacticose New England IPA (Partial Mash),HAZY / NEW ENGLAND IPA,IPA,2019.0,1,Primary,70.0,70.0,14.0,
120,Trans-Atlantic Blonde Ale,BLONDE ALE,BLONDE_PALE,2019.0,1,Primary,62.0,62.0,7.0,
120,Trans-Atlantic Blonde Ale,BLONDE ALE,BLONDE_PALE,2019.0,2,Secondary,65.0,65.0,10.0,
121,Helicious Helles,HELLES,OTHER,2010.0,1,Primary,50.0,,14.0,
121,Helicious Helles,HELLES,OTHER,2010.0,2, Lager,40.0,,21.0,
122,Fortis Exordium Strong English Ale,OLD ALE,OTHER,2019.0,1,Primary,,,,
123,Bunga-Toggles Agave-laced Barleywine,BARLEYWINE,STRONG_ALE,2008.0,1,Primary,70.0,70.0,7.0,
123,Bunga-Toggles Agave-laced Barleywine,BARLEYWINE,STRONG_ALE,2008.0,2,Secondary,55.0,55.0,7.0,
124,Black Hole Sun Baltic Porter,BALTIC PORTER,PORTER,2019.0,1,Primary,50.0,,0.0,
124,Black Hole Sun Baltic Porter,BALTIC PORTER,PORTER,2019.0,2,Diacetyl Rest,60.0,,2.0,
125,Funkwerks Saison,BELGIAN ALE,BELGIAN,2019.0,1,Primary,65.0,80.0,7.0,0.5
126,Corporal Catbox New England IPA,HAZY / NEW ENGLAND IPA,IPA,2019.0,1,Primary,65.0,65.0,7.0,
126,Corporal Catbox New England IPA,HAZY / NEW ENGLAND IPA,IPA,2019.0,2,Cold Crash,58.0,58.0,3.0,
127,La Bomba Belgian Golden Strong,BELGIAN ALE,BELGIAN,2018.0,1,Primary,63.0,70.0,7.0,
128,Gone for a Burton Brown Ale,BROWN ALE,BROWN_ALE,2018.0,1,Primary,63.0,65.0,3.0,
128,Gone for a Burton Brown Ale,BROWN ALE,BROWN_ALE,2018.0,2,Secondary/Conditioning,65.0,67.0,11.0,
128,Gone for a Burton Brown Ale,BROWN ALE,BROWN_ALE,2018.0,3,Cold Crash,38.0,38.0,3.0,
129,Deer Crossing Kellerbier,HELLES,OTHER,2019.0,1,Primary,49.0,49.0,8.0,
129,Deer Crossing Kellerbier,HELLES,OTHER,2019.0,2,Warm Up,49.0,52.0,4.0,0.75
129,Deer Crossing Kellerbier,HELLES,OTHER,2019.0,3,Slow Cold Crash,52.0,34.0,0.0,-1.1
130,A2 Brew Tay,IPA,IPA,2019.0,1,Primary,68.0,68.0,14.0,
130,A2 Brew Tay,IPA,IPA,2019.0,2,Secondary,68.0,68.0,7.0,
131,Amahl’s English Brown Ale,BROWN ALE,BROWN_ALE,2019.0,1,Primary,64.0,68.0,7.0,
132,Strength In Numbers Dark Vienna Lager,AMBER LAGER,LAGER,2019.0,1,Primary,58.0,,6.0,
132,Strength In Numbers Dark Vienna Lager,AMBER LAGER,LAGER,2019.0,2,Lagering,32.0,,42.0,
133,Betty’s Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2019.0,1,Primary,66.0,,14.0,
135,Puna Coast Black Lager,DARK LAGER,LAGER,2002.0,1,Primary,55.0,,7.0,
135,Puna Coast Black Lager,DARK LAGER,LAGER,2002.0,2,Lagering,35.0,40.0,28.0,
136,Stone 7th Anniversary Ale,AMERICAN PALE ALE,IPA,2006.0,1,Primary,72.0,72.0,,
137,Velveteen Caramel,AMBER ALE,AMBER_ALE,2012.0,1,Fermentation,68.0,68.0,2.0,
138,Bell’s Two Hearted Ale Clone,AMERICAN IPA,IPA,,1,Primary,64.0,,7.0,
138,Bell’s Two Hearted Ale Clone,AMERICAN IPA,IPA,,2,Conditioning,64.0,64.0,7.0,
139,Sun-Dried Sour,FRUITED SOUR,SOUR,2018.0,1,primary,68.0,68.0,,
139,Sun-Dried Sour,FRUITED SOUR,SOUR,2018.0,2,aging,68.0,68.0,60.0,
139,Sun-Dried Sour,FRUITED SOUR,SOUR,2018.0,3,fruit addition and aging,68.0,68.0,60.0,
140,Great Feats of Strength Imperial Stout,IMPERIAL STOUT,STOUT,2017.0,1,primary,65.0,65.0,28.0,
141,Lupulin Madness IPA,AMERICAN IPA,IPA,2018.0,1,primary,64.0,64.0,14.0,
142,Melissa and Patty’s Saison,BELGIAN ALE,BELGIAN,2018.0,1,Primary,65.0,,21.0,
143,Honey Squished IPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,1,Primary,68.0,68.0,7.0,
143,Honey Squished IPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,2,Secondary,68.0,,14.0,
144,Charlie’s Visionary Mild,AMERICAN BROWN ALE,BROWN_ALE,2016.0,1,Primary,70.0,70.0,7.0,
144,Charlie’s Visionary Mild,AMERICAN BROWN ALE,BROWN_ALE,2016.0,2,Secondary,55.0,55.0,7.0,
145,Storm Surge Baltic Porter,BALTIC PORTER,PORTER,2011.0,1,Primary,64.0,64.0,14.0,
146,Tropical Haze New England IPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,1,Primary,66.0,73.0,14.0,1.0
148,The Big Hopper Imperial IPA,IMPERIAL / DOUBLE IPA,IPA,2010.0,1,Primary,72.0,,6.0,
148,The Big Hopper Imperial IPA,IMPERIAL / DOUBLE IPA,IPA,2010.0,2,Secondary,72.0,,22.0,
150,Flubadub (partial-mash),AMERICAN PORTER,PORTER,2018.0,1,Primary,70.0,,7.0,
150,Flubadub (partial-mash),AMERICAN PORTER,PORTER,2018.0,2,Secondary,55.0,,,
151,"Tall, Dark and Bready",DUNKELWEIZEN,LAGER,2018.0,1,Primary,64.0,64.0,,
152,Brother Levonian Saison,BELGIAN ALE,BELGIAN,2009.0,1,Primary,76.0,76.0,7.0,
152,Brother Levonian Saison,BELGIAN ALE,BELGIAN,2009.0,2,Secondary,76.0,,7.0,
153,Quick & Easy Malted Cider,SPECIALTY CIDER & PERRY,OTHER,2016.0,1,Primary,68.0,68.0,14.0,
154,Just Rye’te,AMERICAN PALE ALE,IPA,2016.0,1,Primary,68.0,70.0,14.0,
154,Just Rye’te,AMERICAN PALE ALE,IPA,2016.0,2,Ramp to 70-72\u00b0F,68.0,72.0,0.0,1.0
154,Just Rye’te,AMERICAN PALE ALE,IPA,2016.0,3,Secondary (dry hop),70.0,72.0,5.0,
155,Bell’s Brewery Expedition Stout Clone,IMPERIAL STOUT,STOUT,2002.0,1,Primary,72.0,72.0,10.0,
155,Bell’s Brewery Expedition Stout Clone,IMPERIAL STOUT,STOUT,2002.0,2,Secondary,55.0,55.0,2.0,
155,Bell’s Brewery Expedition Stout Clone,IMPERIAL STOUT,STOUT,2002.0,3,Cold Crash,40.0,40.0,7.0,
156,Jack of All Saisons,BELGIAN ALE,BELGIAN,2018.0,1,Primary,68.0,85.0,2.0,8.5
157,Smoked Pumpkin Saison,BELGIAN ALE,BELGIAN,2018.0,1,Primary,68.0,85.0,2.0,8.0
158,Count Orloque Saison,BELGIAN ALE,BELGIAN,2018.0,1,Primary,68.0,68.0,2.0,
158,Count Orloque Saison,BELGIAN ALE,BELGIAN,2018.0,2,Ramp to fermentation temperature,68.0,85.0,0.0,8.0
159,WeldWerks Brewing Juicy Bits NEIPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,1,Primary,67.0,67.0,14.0,
160,New Holland Dragon’s Milk Bourbon Barrel-Aged Stout,IMPERIAL STOUT,STOUT,2018.0,1,Primary,65.0,68.0,7.0,
160,New Holland Dragon’s Milk Bourbon Barrel-Aged Stout,IMPERIAL STOUT,STOUT,2018.0,2,Secondary,68.0,,3.0,
161,Allagash White Clone,BELGIAN ALE,BELGIAN,2018.0,1,Primary,63.0,73.0,7.0,
163,Anchor Brewing Old Foghorn,BARLEYWINE,STRONG_ALE,2018.0,1,Primary,65.0,65.0,14.0,
163,Anchor Brewing Old Foghorn,BARLEYWINE,STRONG_ALE,2018.0,2,Dry hop,68.0,68.0,3.0,
164,Sierra Nevada Bigfoot Barleywine (ver. 2),BARLEYWINE,STRONG_ALE,2018.0,1,Primary,65.0,67.0,7.0,
165,Caliente Tejano Pepper Cream Ale,CREAM ALE,BLONDE_PALE,2018.0,1,Primary,65.0,,,
166,Embracing Sunset Lager,AMBER LAGER,LAGER,2002.0,1,Primary,55.0,55.0,7.0,
166,Embracing Sunset Lager,AMBER LAGER,LAGER,2002.0,2,Lagering,35.0,40.0,28.0,
167,Peach IPA,FRUIT BEER,OTHER,2016.0,1,Primary,72.0,,,
168,The Blue Devils BGSA,BELGIAN ALE,BELGIAN,2016.0,1,Primary,64.0,78.0,8.0,
169,"The Kernel Imperial Brown Stout, London 1856",HISTORICAL BEER,OTHER,2013.0,1,Primary,65.0,,,
170,Rocky Raccoon’s Honey Lager,AMERICAN LAGER,LAGER,2016.0,1,Primary,55.0,55.0,7.0,
170,Rocky Raccoon’s Honey Lager,AMERICAN LAGER,LAGER,2016.0,2,Cold Crash or Lagering,35.0,45.0,21.0,
171,Dusty Mud Irish-Style Stout,STOUT,STOUT,2000.0,1,Primary,70.0,70.0,7.0,
