recipe_id,recipe_title,style,year,yeast_name,yeast_canonical,brand,product_code,primary_temp_F,secondary_temp_F,total_fermentation_days
166,Embracing Sunset Lager,AMBER LAGER,2002.0,Oktoberfest style lager yeast,Oktoberfest style lager yeast,,,55.0,,35
167,Peach IPA,FRUIT BEER,2016.0,White Labs ale yeast variants,White Labs ale yeast variants,White Labs,"WLP001, WLP002, WLP007",72.0,,0
168,The Blue Devils BGSA,BELGIAN ALE,2016.0,Belgian Golden Ale Yeast,Belgian Golden Ale Yeast,,,64.0,,8
169,"The Kernel Imperial Brown Stout, London 1856",HISTORICAL BEER,2013.0,London ale yeast,London ale yeast,,,65.0,,0
170,Rocky Raccoon’s Honey Lager,AMERICAN LAGER,2016.0,Cry Havoc yeast,Cry Havoc yeast,White Labs,,55.0,,28
171,Dusty Mud Irish-Style Stout,STOUT,2000.0,Irish Ale Yeast,Irish Ale Yeast,,,70.0,,7
172,Kathleen’s Spruce Ale,AMERICAN PALE ALE,2018.0,Chico ale yeast,Chico ale yeast,,,68.0,,7
173,Oregon Super Dank,AMERICAN PALE ALE,2018.0,A18 Joystick,A18 Joystick,Imperial Yeast,,,,0
174,Two Flamingoes Strawberry Milkshake IPA,HAZY / NEW ENGLAND IPA,2018.0,Imperial Yeast A04 Barbarian,Imperial Yeast A04 Barbarian,,,65.0,70.0,17
175,Grisette de Saison,BELGIAN ALE,2018.0,Saison or Belgian Ale yeast,Saison or Belgian Ale yeast,,,,,74
176,Ordinary Grisette,BELGIAN ALE,2018.0,Saison or Belgian Ale yeast,Saison or Belgian Ale yeast,,,,,8
177,Stew’s Brew Imperial Black IPA,IPA,2018.0,California Ale Yeast,Chico/US-05 (American Ale),White Labs,WLP001,68.0,,7
178,Stew’s Brew Hefeweizen,HEFEWEIZEN,2018.0,WLP300 Hefeweizen Ale Yeast,WLP300 Hefeweizen Ale Yeast,White Labs,WLP300,65.0,,7
179,Westbound Quad,BELGIAN ALE,2018.0,WLP530 Abbey Ale yeast,WLP530 Abbey Ale yeast,White Labs,WLP530,67.0,,40
180,Bleu Reserve,BELGIAN ALE,2018.0,WLP500 Monastery Ale yeast,WLP500 Monastery Ale yeast,White Labs,WLP500,62.0,,2
181,Big Star Lager,AMERICAN PILSNER,2018.0,Munich Helles (WLP 860),Munich Helles (WLP 860),White Labs,WLP 860,52.0,58.0,42
182,Simple Pils,GERMAN PILSNER,2018.0,Wyeast 2352PC Munich lager II,Wyeast 2352PC Munich lager II,Wyeast,2352PC,52.0,,14
183,Chrysanthemum Flower Tea Kölsch,HYBRID BEER,2018.0,Saflager S-23,Saflager S-23,Fermentis,,60.0,60.0,14
184,TukTukTea IPA,IPA,2018.0,Wyeast 1056,Wyeast 1056,Wyeast,,,,0
185,Choc Full O’ Cherry Porter,FRUIT BEER,2007.0,European Ale Yeast,European Ale Yeast,,,,,14
186,John’s “World Famous” Dark Lager,DARK LAGER,,Wyeast 2633 Oktoberfest Blend,Wyeast 2633 Oktoberfest Blend,Wyeast,,55.0,,0
187,Smokey the Beer II (Partial-Mash),RAUCHBIER,2018.0,White Labs Cry Havoc yeast,White Labs Cry Havoc yeast,White Labs,,,,0
188,Just Another Pretty Face,BARLEYWINE,2017.0,WLP028 Edinburgh Ale Yeast,WLP028 Edinburgh Ale Yeast,White Labs,,68.0,,0
189,American-Style Cascadian India Dark Double Black IPA (ASCIDDBIPA),IPA,2018.0,American/Chico ale yeast,American/Chico ale yeast,,,65.0,,2
190,Bru’n Dry Stout,IRISH STOUT,2013.0,Irish ale yeast (WLP004 or WYEAST 1084),Irish ale yeast (WLP004 or WYEAST 1084),,,68.0,,14
191,Organic Juniper Porter,BALTIC PORTER,2005.0,English Ale liquid yeast,English Ale liquid yeast,,,68.0,68.0,14
192,Right on Hoover Hefeweizen,HEFEWEIZEN,2018.0,Wyeast 3068 Weihenstephan Weizen or White Labs WLP300 Hefeweizen Ale,Wyeast 3068 Weihenstephan Weizen or White Labs WLP300 Hefeweizen Ale,,,64.0,,14
