recipe_id,recipe_title,style,year,Ca_ppm,Mg_ppm,Na_ppm,Cl_ppm,SO4_ppm,HCO3_ppm,water_description,SO4_Cl_ratio
22,Witty Dutchman Witbier,BELGIAN ALE,2019.0,,,,,,,"Carbon filtered, targeting a mash pH of 5.2",
23,Summer Wheat,AMERICAN WHEAT,2021.0,,,,,,,,
24,Em Day’s Pale Ale,AMERICAN PALE ALE,2021.0,,,,,,,"Ca 75 ppm, Mg 5 ppm, Na 0 ppm, Cl 50 ppm, SO₄ 125 ppm, HCO₃ 0 ppm",
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,2006.0,,,,,,,,
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,2021.0,110.0,18.0,17.0,50.0,350.0,,"Ca 110 ppm, Mg 18 ppm, Na 17 ppm, SO4 350 ppm, Cl 50 ppm",7.0
27,Big Bimp! American Barleywine,BARLEYWINE,2019.0,,,,,,,"De-chlorinated Akron, Ohio, city water with 1 tsp. calcium chloride and 1/2 tsp. gypsum per batch.",
28,Baltic Bliss,PORTER,2021.0,,,,,,,"For low-mineral water, add 1 tsp. calcium chloride and ½ tsp. gypsum.",
29,Easy Peasy American Lager,PALE LAGER,2021.0,,,,,,,,
30,Full Stop Stout,IRISH STOUT,2021.0,,,,,,,,
31,Old School Barleywine,UK/US STRONG ALE,,71.31537242472267,,,127.31114632857899,,,Reverse osmosis water treated with 1/4 tsp 10% phosphoric acid per 5 gallons.,
32,Columbus Pale Ale,PALE ALE,,,,,,,,,
33,Zek’s Porter,Baltic Porter,,,,,,,,,
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,,,,,,,,,
35,Stale Doughnut Belgian Pale Ale,BELGIAN ALE,2020.0,,,,,,,,
36,Kumquat Citra Sour,FRUIT BEER,2020.0,,,,,,,,
37,Nilsson American Wheat Ale,WHEAT & RYE BEER,2020.0,,,,,,,,
38,Simply Bone Idle Bitter,AMBER ALE,2020.0,,,,,,,,
39,West Seattle Amber Ale,AMBER ALE,2020.0,,,,,,,Charcoal-filtered with 1 tsp. each CaCl₂ and CaSO₄,
40,Surly Coffee Bender,BROWN ALE,2020.0,,,,,,,,
41,Avocado Saison,BELGIAN ALE,2019.0,,,,,,,,
42,Saison Tropicale,BELGIAN ALE,2012.0,,,,,,,,
43,Monroe Weiss,BERLINER WEISSE,2018.0,,,,,,,"Reverse osmosis water treated with phosphoric acid, sparged with hot water",
44,Cariño Sour,BERLINER WEISSE,2016.0,,,,,,,,
45,Golden Goblet Gruit Ale,HISTORICAL BEER,2011.0,,,,,,,Reverse osmosis water,
46,Dubious Dubbel,BELGIAN ALE,2012.0,,,,,,,,
47,Mild Ale #3,AMBER ALE,2013.0,,,,,,,,
48,Quarantine American IPA,AMERICAN IPA,,,,,,,,,
49,Solstice American Stout,AMERICAN STOUT,2020.0,,,,,,,,
50,One-Ply Rye IPA,AMERICAN IPA,2020.0,,,,,,,,
51,Tim’s Sweet Stout,STOUT,2019.0,,,,,,,,
52,Pangaea Proxima Polar IPA,AMERICAN IPA,2020.0,,,,,,,,
53,Espresso Stout,COFFEE BEER,2010.0,,,,,,,,
54,Easy Amber Ale,SPECIALTY IPA,,,,,,,,,
55,Tuxedo Speedo Black IPA,IPA,2013.0,,,,,,,,
56,Stone-Faced IPA,AMERICAN IPA,2017.0,,,,,,,,
57,Jack’s Classic American Pilsner,AMERICAN PILSNER,2020.0,59.0,0.0,0.0,63.0,89.0,0.0,Kai Troester’s Pilsner water profile (see braukaiser.com),1.4126984126984128
58,Double White IPA,IMPERIAL / DOUBLE IPA,2020.0,,,,,,,,
59,Toto Stout,STOUT,2020.0,,,,,,,,
60,Atahsaia Barleywine,BARLEYWINE,2015.0,,,,,,,,
61,Thames Porter,AMERICAN PORTER,2014.0,,,,,,,,
62,Bruce Stott’s Dortmunder Export,HELLES,2007.0,,,,,,,Add 0.5 tsp calcium chloride to mash and sparge water,
63,WTG? Stout,STOUT,2020.0,,,,,,,Filtered water used for steeping and fermenting,
64,Piwo Jopejskie,FARMHOUSE BEER,2020.0,,,,,,,,
65,Little Red Bird Braggot,BRAGGOT,2020.0,,,,,,,,
66,Traditional Berliner Weisse,BERLINER WEISSE,2020.0,,,,,,,,
67,Chess with Checkers,BELGIAN ALE,2019.0,,,,,,,,
68,Leicht,PALE LAGER,2019.0,,,,,,,,
69,Distemper Sour Ale,SOUR ALE,2019.0,,,,,,,,
70,I Got Your Nukey Brown Ale,BROWN ALE,2020.0,,,,,,,Water for steeping specialty grains and diluting extract,
71,Dodgy Wanker,ENGLISH PALE ALE,2020.0,,,,,,,,
72,Newtonian ESB,ENGLISH PALE ALE,2015.0,,,,,,,North Denver tap water,
73,Majestic Sea Cow American Pale Ale,AMERICAN PALE ALE,2019.0,,,,,,,,
74,Triple-X,STOUT,,,,,,,,,
75,Ginger Dinger 2017 Dark Lager,DARK LAGER,2017.0,,,,,,,,
76,Rogue Chocolate Stout Clone,SPICE & HERB BEER,2009.0,,,,,,,,
77,Future Forward Sour Saison,BELGIAN ALE,2019.0,,,,,,,,
78,Peppermint Porter,COFFEE BEER,2019.0,,,,,,,,
79,Mike’s Mild,BROWN ALE,2019.0,,,,,,,,
80,Wry Smile Rye IPA,IPA,2019.0,,,,,,,,
81,Valhalla Honey Beer,BRAGGOT,2019.0,,,,,,,,
82,Chomolungma Brown Ale,AMERICAN BROWN ALE,2019.0,48.0,12.0,80.0,46.0,30.0,,"Ca 48 ppm, Mg 12 ppm, SO4 30 ppm, Na 80 ppm, Cl 46 ppm",0.6521739130434783
83,Klosterman,HYBRID BEER,2019.0,,,,,,,,
84,Holiday Pumpkin Ale,SPICE & HERB BEER,2008.0,,,,,,,,
85,Schwarzer Geist Dark Lager,DARK LAGER,2019.0,,,,,,,,
86,Barrel-Aged Mark of the Beast Doppelbock,BOCK,2019.0,,,,,,,,
87,Four-Two-Oh NEIPA,HAZY / NEW ENGLAND IPA,2019.0,,,,,,,,
88,Briess RoastOat Red,ENGLISH IPA,2019.0,,,,,,,,
89,Princesse Beer 1866,HISTORICAL BEER,2019.0,,,,,,,,
90,Bjørne Røthe’s Vossaøl,HISTORICAL BEER,2019.0,,,,,,,,
91,Joker’s #1 Light Lager,AMERICAN LAGER,2019.0,44.0,5.0,10.0,50.0,80.0,,"Ca 44 ppm, Mg 5 ppm, Na 10 ppm, SO4 80 ppm, Cl 50 ppm, HCO3 ppm",1.6
92,Old Helen Helles Exportbier,HELLES,2019.0,,,,,,,,
93,SunRaker German Pils,GERMAN PILSNER,2019.0,,,,,,,Double RV-filtered tap water,
94,Winnebago International Amber Lager,Amber Lager,2019.0,,,,,,,Filtered tap water,
95,May the Schwartz Be With You,DARK LAGER,2019.0,,,,,,,,
96,Four the Win (FTW) Belgian Dark Strong,BELGIAN ALE,2019.0,,,,,,,"Denver, Colo., carbon-filtered water",
97,Tropic Sun Sour,FRUIT BEER,2019.0,60.0,5.0,10.0,95.0,55.0,0.0,"Ca 60 ppm, Mg 5 ppm, Na 10 ppm, SO4 55 ppm, Cl 95 ppm, HCO3 0 ppm",0.5789473684210527
98,Richard’s Brownie Batter Imperial Stout,IMPERIAL STOUT,2019.0,53.0,5.0,61.0,45.0,37.0,217.0,"Ca 53 ppm, Mg 5 ppm, Na 61 ppm, SO4 37 ppm, Cl 45 ppm, HCO3 217 ppm",0.8222222222222222
99,Blootered Bastart Barrel-aged Wee Heavy,AMBER ALE,2019.0,,,,,,,,
100,Catharina’s Passion Sour,FRUIT BEER,2019.0,65.0,10.0,15.0,70.0,80.0,0.0,Build water profile from reverse osmosis and target a mash pH of 5.3.,1.1428571428571428
101,Angie’s Bursting Citra II (AKA Juice),AMERICAN PALE ALE,2017.0,,,,,,,,
102,Pickelhaube Festbier,MARZEN,2016.0,,,,,,,RO water treated with 1g/gallon calcium chloride,
103,Pucker Up Baby Berliner Weisse,BERLINER WEISSE,2014.0,,,,,,,,
104,Three Floyds Brewing Zombie Dust IPA Clone,IPA,2019.0,,,,,,,2 g/gal gypsum added to reverse osmosis (RO) water.,
105,Cigar City Jai Alai IPA Classic Clone,IPA,2019.0,100.0,,,125.0,150.0,23.0,"Calcium 100 ppm, Magnesium <10 ppm, Sulfate 150 ppm, Sodium <10 ppm, Chloride 125 ppm, Bicarbonate 23 ppm",1.2
106,Curse Stout,CHOCOLATE BEER,2019.0,,,,,,,,
107,Boscos Famous Flaming Stone,HISTORICAL BEER,2019.0,,,,,,,,
108,Saison Capitale,BELGIAN ALE,2019.0,,,,,,,"Very low-mineral water, similar to that of Pilsen",
109,Tropicalia Catharina Sour,FRUIT BEER,2019.0,,,,,,,,
110,We Don’t Need No Stinkin’ IBUs,AMERICAN PALE ALE,2019.0,,,,,,,,
111,Blinky Session IPA,IPA,,,,,,,,,
112,Eubayanus Brown Porter,AMERICAN PORTER,2016.0,,,,,,,,
113,Austrian Expat Dark Mexican Lager,DARK LAGER,2017.0,,,,,,,Reverse osmosis water with calcium chloride added,
114,Probably the Best Beer in the…House,HELLES,2019.0,,,2.5,,,,"Portland, Ore., water or RO water. Adjust mash pH to 5.2–5.3 with lactic acid if needed.",
115,Trappist Tripel,BELGIAN ALE,2019.0,,,,,,,,
116,Mt. Brandon Irish Stout,IRISH STOUT,2016.0,,,,,,,,
117,Aztec-style Brown Ale,BROWN ALE,2016.0,,,,,,,,
118,Two Blue Dogs Barleywine,BARLEYWINE,2011.0,,,,,,,,
119,Battlecow Galacticose New England IPA (Partial Mash),HAZY / NEW ENGLAND IPA,2019.0,,,,,,,,
120,Trans-Atlantic Blonde Ale,BLONDE ALE,2019.0,,,,,,,,
121,Helicious Helles,HELLES,2010.0,,,,,,,Medium carbonate water,
122,Fortis Exordium Strong English Ale,OLD ALE,2019.0,,,,,,,"Aim for a mash water profile of Ca 102 ppm, Mg 10 ppm, Na 23 ppm, Cl 148 ppm, SO4 90 ppm, with a chloride-to-sulfate ratio of 1.64.",
123,Bunga-Toggles Agave-laced Barleywine,BARLEYWINE,2008.0,,,,,,,,
124,Black Hole Sun Baltic Porter,BALTIC PORTER,2019.0,,,,,,,,
125,Funkwerks Saison,BELGIAN ALE,2019.0,50.0,,,,,,Add calcium chloride to target 50 ppm if necessary.,
126,Corporal Catbox New England IPA,HAZY / NEW ENGLAND IPA,2019.0,128.43243243243242,,,229.2756756756757,,,"Total water volume: 37 L (9.77 gal). Mash water: 21.5 L (5.67 gal) with 0.3 g CaSO4, 10.2 g CaCl2, 0.9 mL lactic acid. Sparge water: 15.5 L (4.1 gal) with 0.2 g CaSO4, 7.4 g CaCl2, 0.2 mL lactic acid.",
127,La Bomba Belgian Golden Strong,BELGIAN ALE,2018.0,,,,,,,,
128,Gone for a Burton Brown Ale,BROWN ALE,2018.0,36.0,8.0,22.0,53.0,46.0,56.0,"Ca 36 ppm, Mg 8 ppm, Na 22 ppm, Cl 53 ppm, SO4 46 ppm, HCO3 56 ppm",0.8679245283018868
129,Deer Crossing Kellerbier,HELLES,2019.0,,,,,,,Adjust brewing liquor with calcium chloride as needed to achieve mash pH of 5.3,
130,A2 Brew Tay,IPA,2019.0,,,,,,,"Not explicitly stated, but roughly 6 qt. initial mash water, additional sparge water, final volume to 5 gallons",
131,Amahl’s English Brown Ale,BROWN ALE,2019.0,,0.0,,70.0,,,"Ca 45–90 ppm, Mg 0 ppm, SO4 37–57 ppm, Na 0–60 ppm, Cl: 70–80 ppm; pickling lime or baking soda as needed to raise mash pH to 5.2–5.3",
132,Strength In Numbers Dark Vienna Lager,AMBER LAGER,2019.0,,,,,,,,
133,Betty’s Brown Ale,AMERICAN BROWN ALE,2019.0,,,,,,,,
134,Sierra Nevada Resilience IPA,AMERICAN IPA,2018.0,,,,,,,,
135,Puna Coast Black Lager,DARK LAGER,2002.0,,,,,,,,
136,Stone 7th Anniversary Ale,AMERICAN PALE ALE,2006.0,,,,,,,,
137,Velveteen Caramel,AMBER ALE,2012.0,,,,,,,,
138,Bell’s Two Hearted Ale Clone,AMERICAN IPA,,542.2222222222223,,,,1271.111111111111,,"4.5 gallons (17 L) carbon filtered water, adjusted with 4 grams gypsum.",
139,Sun-Dried Sour,FRUITED SOUR,2018.0,,,,,,,,
140,Great Feats of Strength Imperial Stout,IMPERIAL STOUT,2017.0,42.0,14.0,13.0,18.0,10.0,129.0,"Ca 42 ppm, Mg 14 ppm, Na 13 ppm, SO4 10 ppm, Cl 18 ppm, HCO3 129 ppm.",0.5555555555555556
141,Lupulin Madness IPA,AMERICAN IPA,2018.0,51.2,7.7,21.4,79.9,45.1,54.8,Target mineral levels,0.5644555694618273
142,Melissa and Patty’s Saison,BELGIAN ALE,2018.0,,,,,,,"Ca 42 ppm, Mg 14 ppm, Na 13 ppm, SO4 10 ppm, Cl 18 ppm, HCO3 129 ppm.",
143,Honey Squished IPA,HAZY / NEW ENGLAND IPA,2018.0,,,,,,,"Filtered water, supplemented with gypsum",
144,Charlie’s Visionary Mild,AMERICAN BROWN ALE,2016.0,,,,,,,,
145,Storm Surge Baltic Porter,BALTIC PORTER,2011.0,,,,,,,,
146,Tropical Haze New England IPA,HAZY / NEW ENGLAND IPA,2018.0,125.0,,,150.0,75.0,,"Cl 150 ppm, SO4 75 ppm, Ca 125 ppm",0.5
147,Alright Already Amber,AMBER ALE,2009.0,,,,,,,,
148,The Big Hopper Imperial IPA,IMPERIAL / DOUBLE IPA,2010.0,,,,,,,"Filtered, unsoftened well water, 10.66 gallons mash water, sparged to 13 gallons of wort",
149,Corrales Piñon Porter,PORTER,2018.0,,,,,,,,
150,Flubadub (partial-mash),AMERICAN PORTER,2018.0,,,,,,,,
151,"Tall, Dark and Bready",DUNKELWEIZEN,2018.0,,,,,,,,
152,Brother Levonian Saison,BELGIAN ALE,2009.0,,,,,,,,
153,Quick & Easy Malted Cider,SPECIALTY CIDER & PERRY,2016.0,,,,,,,,
154,Just Rye’te,AMERICAN PALE ALE,2016.0,,,,,,,,
155,Bell’s Brewery Expedition Stout Clone,IMPERIAL STOUT,2002.0,,,,,,,,
156,Jack of All Saisons,BELGIAN ALE,2018.0,,,,,,,,
157,Smoked Pumpkin Saison,BELGIAN ALE,2018.0,,,,,,,,
158,Count Orloque Saison,BELGIAN ALE,2018.0,,,,,,,,
159,WeldWerks Brewing Juicy Bits NEIPA,HAZY / NEW ENGLAND IPA,2018.0,,,,,,,"Epsom salt (MgSO4), calcium chloride",
160,New Holland Dragon’s Milk Bourbon Barrel-Aged Stout,IMPERIAL STOUT,2018.0,,,,,,,Reverse osmosis with 1 g/gal calcium chloride,
161,Allagash White Clone,BELGIAN ALE,2018.0,,,,,,,Reverse osmosis with 1 g/gal. calcium chloride and 1 g/gal. calcium sulfate,
162,Peaks & Priorities Juicy IPA (Extract),HAZY / NEW ENGLAND IPA,2018.0,,,,,,,Not specified in the recipe.,
163,Anchor Brewing Old Foghorn,BARLEYWINE,2018.0,,,,,,,,
164,Sierra Nevada Bigfoot Barleywine (ver. 2),BARLEYWINE,2018.0,,,,,,,,
165,Caliente Tejano Pepper Cream Ale,CREAM ALE,2018.0,,,,,,,,
166,Embracing Sunset Lager,AMBER LAGER,2002.0,,,,,,,,
167,Peach IPA,FRUIT BEER,2016.0,,,,,,,,
168,The Blue Devils BGSA,BELGIAN ALE,2016.0,,,,,,,Reverse osmosis water treated with 1 gram calcium sulfate per gallon,
169,"The Kernel Imperial Brown Stout, London 1856",HISTORICAL BEER,2013.0,,,,,,,,
170,Rocky Raccoon’s Honey Lager,AMERICAN LAGER,2016.0,,,,,,,,
171,Dusty Mud Irish-Style Stout,STOUT,2000.0,,,,,,,,
172,Kathleen’s Spruce Ale,AMERICAN PALE ALE,2018.0,,,,,,,,
173,Oregon Super Dank,AMERICAN PALE ALE,2018.0,,,,,,,,
174,Two Flamingoes Strawberry Milkshake IPA,HAZY / NEW ENGLAND IPA,2018.0,,,,,,,,
175,Grisette de Saison,BELGIAN ALE,2018.0,130.0,,,90.0,175.0,,"130 ppm Ca2+, 175 ppm SO42-, 90 ppm Cl-, 10–20 ppm HCO3-, <5 ppm Mg2+",1.9444444444444444
176,Ordinary Grisette,BELGIAN ALE,2018.0,130.0,,,90.0,175.0,,"130 ppm Ca2+, 175 ppm SO42-, 90 ppm Cl-, 10–20 ppm HCO3-, <5 ppm Mg2+",1.9444444444444444
177,Stew’s Brew Imperial Black IPA,IPA,2018.0,,,,,,,,
178,Stew’s Brew Hefeweizen,HEFEWEIZEN,2018.0,,,,,,,,
179,Westbound Quad,BELGIAN ALE,2018.0,,,,,,,,
180,Bleu Reserve,BELGIAN ALE,2018.0,,,,,,,,
181,Big Star Lager,AMERICAN PILSNER,2018.0,,,,,,,,
182,Simple Pils,GERMAN PILSNER,2018.0,,,,,,,"Lowered pH water, ideally around pH 6 during mash and sparge",
183,Chrysanthemum Flower Tea Kölsch,HYBRID BEER,2018.0,,,,,,,,
184,TukTukTea IPA,IPA,2018.0,,,,,,,,
185,Choc Full O’ Cherry Porter,FRUIT BEER,2007.0,,,,,,,,
186,John’s “World Famous” Dark Lager,DARK LAGER,,,,,,,,,
187,Smokey the Beer II (Partial-Mash),RAUCHBIER,2018.0,,,,,,,,
188,Just Another Pretty Face,BARLEYWINE,2017.0,32.0,9.0,26.0,27.0,48.0,89.0,"Ca 32 ppm, Mg 9 ppm, Na 26 ppm, Cl 27 ppm, SO4 48 ppm, CaCO3 89 ppm",1.7777777777777777
189,American-Style Cascadian India Dark Double Black IPA (ASCIDDBIPA),IPA,2018.0,,,,,,,1 g/gal calcium sulfate added to reverse osmosis or distilled water,
190,Bru’n Dry Stout,IRISH STOUT,2013.0,,,,,,,"Low-alkalinity water, acidified as necessary to achieve appropriate mash pH and sparge pH.",
191,Organic Juniper Porter,BALTIC PORTER,2005.0,,,,,,,,
192,Right on Hoover Hefeweizen,HEFEWEIZEN,2018.0,,,,,,,,
193,Weekday Bock (Malt Extract),BOCK,2018.0,,,,,,,,
194,Psychedelic Weisse (Berliner Weisse with Dragon Fruit and Guava),BERLINER WEISSE,2017.0,,,,,,,,
195,American IPA con Pomelo Rosado (Pink Grapefruit American IPA),AMERICAN IPA,2017.0,,,,,,,,
196,Barley Phillip Irish Red,AMBER ALE,2018.0,,,,,,,add 1 g/gal calcium chloride to reverse osmosis or distilled water,
197,Terre au Verre,BELGIAN ALE,2018.0,,,,,,,,
198,Pirate of the Baltic Porter,Baltic Porter,2012.0,,,,,,,,
199,Cherry Dubbel,BELGIAN ALE,2007.0,,,,,,,,
200,Sparrow Hawk Porter,BALTIC PORTER,2013.0,,,,,,,,
201,Höfter’s Blanc Pale Ale,AMERICAN PALE ALE,2017.0,592.5,,,241.0,1072.4999999999998,,Soft water used for infusion mash,4.450207468879667
202,Boeing Smoked Apple Lager (extract),AMBER LAGER,2017.0,,,,,,,,
203,Squeeze the Day,FRUITED SOUR,2017.0,,,,,,,,
204,Imperial Rice Pilsner,PILSNER,2017.0,,,,,,,,
205,SMASH Bohemian Pils,CZECH / BOHO PILS,2017.0,,,,,,,,
206,Siebte Flasche,HEFEWEIZEN,2017.0,,,,,,,,
207,No Fail Extract IPA,AMERICAN IPA,2017.0,,,,,,,Reverse osmosis water for dissolving ingredients and boiling; final fermentation on the original water source not specified.,
208,Rye the Heck Not?,WHEAT & RYE BEER,2012.0,,,,,,,"Use BIAB method; mash in 4.5 gallons of water at 122°F, raise to 154°F for mash.",
209,Super Nice Day IPA,IPA,2017.0,,,,,,,RO water for brewing,
210,Jamil’s Extra Yellow,AMERICAN LAGER,,,,,,,,,
211,Continental-Style Baltic Porter,BALTIC PORTER,2017.0,,,,,,,,
212,London-Style Baltic Porter,BALTIC PORTER,2017.0,,,,,,,,
213,Golden Ale,ENGLISH PALE ALE,2017.0,,,,,,,,
214,GP75 Pale Ale,AMERICAN PALE ALE,2017.0,,,,,,,,
215,Prost Bock,BOCK,2011.0,,,,,,,,
216,Boulevard Brewing Co. Tank 7,BELGIAN ALE,,,,,,,,,
217,Big Beach Brewing Co. For the Love of…Mosaic,AMERICAN PALE ALE,,,,,,,,,
218,Focal Point (Inspired by The Alchemist’s Focal Banger),HAZY / NEW ENGLAND IPA,,,,,,,,,
219,Great Lakes Brewing Edmund Fitzgerald Porter,BALTIC PORTER,,,,,,,,,
220,New Glarus Brewing Belgian Red Ale,BELGIAN ALE,,,,,,,,,
221,More Fun Blonde,BELGIAN ALE,2011.0,,,,,,,"Tap water from Fort Collins, Colorado, fairly neutral.",
222,Solstice Spice,BELGIAN ALE,2006.0,,,,,,,,
223,Kölsch,HYBRID BEER,2017.0,,,,,,,,
224,The Cure from Cork,Irish Stout,2017.0,80.0,20.0,,,,240.0,"80 ppm calcium, 20 ppm magnesium, 240 ppm carbonate",
225,Copper Ale,AMBER ALE,2017.0,75.0,,,,,,"Carbon-filtered tap water, carbonates around 100 ppm, calcium around 75 ppm",
226,80 Shilling Scottish Ale,AMBER ALE,2017.0,,,,,,,,
227,Spice Trade Brewing Sun Temple IPA,AMERICAN IPA,2017.0,,,,,,,"Minerals are important for this style. If you dabble in chemistry, shoot for 100 ppm chloride and 200 ppm sulfate. Specific salt additions depend on the base water profile you start with.",
228,Lawson’s Sip of Sunshine IPA Clone,HAZY / NEW ENGLAND IPA,2017.0,,,,,,,Water,
229,Sierra Nevada Celebration Ale (Version 2),AMERICAN IPA,2017.0,,,,,,,,
230,Smoked Habanero IPA,IPA,2017.0,,,,,,,,
231,Brighid’s Irish Red Ale,AMBER ALE,2009.0,,,,,,,,
232,Fuller’s ESB Clone,ENGLISH PALE ALE,2006.0,,,,,,,,
233,Klang Freudenfest Oktoberfest (Extract),OKTOBERFEST,2017.0,,,,,,,,
234,Rushmore IPA (Extract),AMERICAN IPA,2017.0,,,,,,,,
235,Battre L’oie Saison (Extract),BELGIAN ALE,,,,,,,,,
236,Ommegang Abbey Clone,BELGIAN ALE,2008.0,,,,,,,,
237,Montezuma’s Revenge Mexican Dark Lager with Coffee,COFFEE BEER,2010.0,,,,,,,,
238,Dirk Diggler New England Pale Ale,HAZY / NEW ENGLAND IPA,,,,,,,,,
239,Arrogant Bastard Clone,UK/US STRONG ALE,2011.0,,,,,,,Use 50% reverse osmosis filtered water and 50% tap water.,
240,Bitter Beer Face Session IPA,IPA,2013.0,,,,,,,,
241,Harvest Ale Saison,BELGIAN ALE,2008.0,,,,,,,,
242,Whale’s Tail Pale Ale,AMERICAN PALE ALE,,,,,,,,,
243,Maverick India Black Ale,IPA,2005.0,,,,,,,,
244,Dogfish Head 120 Minute IPA,IPA,2005.0,,,,,,,,
245,Pressure Drop Stokey Brown,BROWN ALE,2013.0,,,,,,,,
246,Gone But Not Forgotten Burton Old Ale,ENGLISH PALE ALE,2012.0,,,,,,,,
247,Christmas Cinderella Double Brown Ale,SPICE & HERB BEER,1997.0,,,,,,,,
248,The Fall (Cranberry Saison),BELGIAN ALE,2006.0,,,,,,,,
249,Ale of Asgard,BARLEYWINE,,,,,,,,,
250,Maltonator Doppelbock,BOCK,2009.0,,,,,,,,
251,Epic Stout,IMPERIAL STOUT,2014.0,,,,,,,,
252,Julie: A Pumpkin Belgian Strong Ale,BELGIAN ALE,2006.0,,,,,,,,
253,Ekuanot HBC 366 American Pale Ale,AMERICAN PALE ALE,,,,,,,,,
254,3 Floyds Alpha King Clone,AMERICAN PALE ALE,,,,,,,,,
255,Sierra Nevada Bigfoot Barleywine,BARLEYWINE,2006.0,,,,,,,,
256,Sippin’ on the Dock of the Bay IPA,AMERICAN IPA,2009.0,,,,,,,,
257,Deschutes Chainbreaker White IPA Clone,IPA,2012.0,,,,,,,,
258,Evil Twin,AMBER ALE,2006.0,,,,,,,,
259,Russian River Blind Pig IPA Clone,IPA,2012.0,,,,,,,,
260,Victory Brewing Co. Prima Pils Clone,GERMAN PILSNER,,,,,,,,,
261,Collective Hoppiness,Imperial / Double IPA,2012.0,,,,,,,,
262,Kalyke Blonde,BELGIAN ALE,2015.0,,,,,,,,
263,Summertime Ginger Ale,SPICE & HERB BEER,,,,,,,,,
264,LAB Coconut Porter,PORTER,2013.0,,,,,,,,
265,Jeff’s Untitled Dortmunder,HELLES,2011.0,,,,,,,,
266,Pickelhaube Märzen,AMBER LAGER,,,,,,,,RO water treated with 1g/gallon calcium chloride,
267,Oskar Blues Dale’s Pale Ale,AMERICAN PALE ALE,2009.0,,,,,,,,
268,Odell IPA,AMERICAN IPA,2007.0,,,,,,,,
269,(512) Brewing Co. Pecan Porter,PORTER,,,,,,,,,
270,Sour Blonde with Apricot,BELGIAN ALE,2015.0,,,,,,,"Target water with under 100 ppm each of Ca, Mg, Na, Cl, SO4, HCO3; mash pH 5.2-5.6",
271,Founders Kentucky Breakfast Stout,Imperial Stout,,,,,,,,,
272,Browneywine (Maltose Falcons & Firestone Walker),BARLEYWINE,1974.0,,,,,,,,
273,North Coast Old Rasputin Russian Imperial Stout Clone,IMPERIAL STOUT,2007.0,,,,,,,,
274,Gordon Biersch Winter Bock,BOCK,2011.0,,,,,,,,
275,Sierra Nevada Celebration Ale,IPA,2003.0,,,,,,,,
