recipe_id,recipe_title,style,style_group,year,step_number,step_name,temp_F,time_min
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,1,Saccharification rest,152.0,60
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,1,Mash,154.0,60
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,2,Mashout,168.0,10
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,1,Mash,154.0,30
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,2,Raise to Mash Out,170.0,15
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,1,Mash,150.0,90
28,Baltic Bliss,PORTER,PORTER,2021.0,1,Mash,153.0,60
30,Full Stop Stout,IRISH STOUT,STOUT,2021.0,1,Mash,152.0,60
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,1,Mash,152.0,90
31,Old School Barleywine,UK/US STRONG ALE,STRONG_ALE,,2,Mash Out,168.0,15
32,Columbus Pale Ale,PALE ALE,IPA,,1,,152.0,60
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,AMBER_ALE,,1,Steep grains,160.0,30
34,Mad Jack’s Hoppy Amber Ale,AMBER ALE,AMBER_ALE,,2,Stir in extract,120.0,0
35,Stale Doughnut Belgian Pale Ale,BELGIAN ALE,BELGIAN,2020.0,1,Mash,152.0,60
36,Kumquat Citra Sour,FRUIT BEER,OTHER,2020.0,1,Mash,154.0,60
39,West Seattle Amber Ale,AMBER ALE,AMBER_ALE,2020.0,1,Mash,155.0,60
40,Surly Coffee Bender,BROWN ALE,BROWN_ALE,2020.0,1,Mash,155.0,60
41,Avocado Saison,BELGIAN ALE,BELGIAN,2019.0,1,Mash,152.0,60
42,Saison Tropicale,BELGIAN ALE,BELGIAN,2012.0,1,Mash,150.0,60
43,Monroe Weiss,BERLINER WEISSE,SOUR,2018.0,1,,148.0,60
44,Cariño Sour,BERLINER WEISSE,SOUR,2016.0,1,Mash,152.0,60
45,Golden Goblet Gruit Ale,HISTORICAL BEER,OTHER,2011.0,1,Mash,148.0,90
45,Golden Goblet Gruit Ale,HISTORICAL BEER,OTHER,2011.0,2,Mash Out,168.0,10
47,Mild Ale #3,AMBER ALE,AMBER_ALE,2013.0,1,mash,152.0,60
48,Quarantine American IPA,AMERICAN IPA,IPA,,1,Mash,153.0,60
49,Solstice American Stout,AMERICAN STOUT,STOUT,2020.0,1,Mash,150.0,60
50,One-Ply Rye IPA,AMERICAN IPA,IPA,2020.0,1,Mash,152.0,60
51,Tim’s Sweet Stout,STOUT,STOUT,2019.0,1,Mash,151.0,60
52,Pangaea Proxima Polar IPA,AMERICAN IPA,IPA,2020.0,1,Mash,153.0,60
53,Espresso Stout,COFFEE BEER,OTHER,2010.0,1,Mash,152.0,45
55,Tuxedo Speedo Black IPA,IPA,IPA,2013.0,1,mash,152.0,60
56,Stone-Faced IPA,AMERICAN IPA,IPA,2017.0,1,mash,152.0,60
57,Jack’s Classic American Pilsner,AMERICAN PILSNER,LAGER,2020.0,1,Mash,154.0,60
58,Double White IPA,IMPERIAL / DOUBLE IPA,IPA,2020.0,1,Initial mash,121.0,15
58,Double White IPA,IMPERIAL / DOUBLE IPA,IPA,2020.0,2,Raise mash to,146.0,0
58,Double White IPA,IMPERIAL / DOUBLE IPA,IPA,2020.0,3,Hold at mash temperature,146.0,60
59,Toto Stout,STOUT,STOUT,2020.0,1,Mash,156.0,60
60,Atahsaia Barleywine,BARLEYWINE,STRONG_ALE,2015.0,1,Mash,150.0,75
61,Thames Porter,AMERICAN PORTER,PORTER,2014.0,1,Mash,152.0,60
61,Thames Porter,AMERICAN PORTER,PORTER,2014.0,2,Mashout,168.0,0
62,Bruce Stott’s Dortmunder Export,HELLES,OTHER,2007.0,1,Mash,155.0,70
64,Piwo Jopejskie,FARMHOUSE BEER,BELGIAN,2020.0,1,Mash at 125\u00b0F for 10 minutes,125.0,10
64,Piwo Jopejskie,FARMHOUSE BEER,BELGIAN,2020.0,2,Mash at 145\u00b0F for 60 minutes,145.0,60
64,Piwo Jopejskie,FARMHOUSE BEER,BELGIAN,2020.0,3,Mash at 161\u00b0F for 20 minutes,161.0,20
64,Piwo Jopejskie,FARMHOUSE BEER,BELGIAN,2020.0,4,Mash at 170\u00b0F for 5 minutes,170.0,5
65,Little Red Bird Braggot,BRAGGOT,OTHER,2020.0,1,Mash,152.0,90
66,Traditional Berliner Weisse,BERLINER WEISSE,SOUR,2020.0,1,Mash in at 125\u00b0F (52\u00b0C),125.0,15
66,Traditional Berliner Weisse,BERLINER WEISSE,SOUR,2020.0,2,Rest at 147\u00b0F (64\u00b0C),147.0,45
66,Traditional Berliner Weisse,BERLINER WEISSE,SOUR,2020.0,3,Rest at 161\u00b0F (72\u00b0C),161.0,45
67,Chess with Checkers,BELGIAN ALE,BELGIAN,2019.0,1,Mash,148.0,90
68,Leicht,PALE LAGER,LAGER,2019.0,1,Mash 1,148.5,30
68,Leicht,PALE LAGER,LAGER,2019.0,2,Mash 2,159.0,30
69,Distemper Sour Ale,SOUR ALE,SOUR,2019.0,1,Mash,149.0,60
71,Dodgy Wanker,ENGLISH PALE ALE,IPA,2020.0,1,Mash,152.0,60
72,Newtonian ESB,ENGLISH PALE ALE,IPA,2015.0,1,Initial Mash,154.0,75
73,Majestic Sea Cow American Pale Ale,AMERICAN PALE ALE,IPA,2019.0,1,Mash,156.0,60
73,Majestic Sea Cow American Pale Ale,AMERICAN PALE ALE,IPA,2019.0,2,Mash Out,165.0,15
74,Triple-X,STOUT,STOUT,,1,Mash,151.0,60
76,Rogue Chocolate Stout Clone,SPICE & HERB BEER,OTHER,2009.0,1,Mash,150.0,60
77,Future Forward Sour Saison,BELGIAN ALE,BELGIAN,2019.0,1,Mash,150.0,60
78,Peppermint Porter,COFFEE BEER,OTHER,2019.0,1,Mash,156.0,60
79,Mike’s Mild,BROWN ALE,BROWN_ALE,2019.0,1,Mash,153.0,60
80,Wry Smile Rye IPA,IPA,IPA,2019.0,1,Mash at 153\u00b0F (67\u00b0C),153.0,60
81,Valhalla Honey Beer,BRAGGOT,OTHER,2019.0,1,Mash,149.0,60
82,Chomolungma Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2019.0,1,mash,152.0,30
83,Klosterman,HYBRID BEER,OTHER,2019.0,1,Mash,151.0,35
84,Holiday Pumpkin Ale,SPICE & HERB BEER,OTHER,2008.0,1,Mash,155.0,60
85,Schwarzer Geist Dark Lager,DARK LAGER,LAGER,2019.0,1,Mash,151.0,60
86,Barrel-Aged Mark of the Beast Doppelbock,BOCK,LAGER,2019.0,1,Mash,156.0,60
88,Briess RoastOat Red,ENGLISH IPA,IPA,2019.0,1,Mash,152.0,60
89,Princesse Beer 1866,HISTORICAL BEER,OTHER,2019.0,1, Mash at 152\u00b0F (66.7\u00b0C),152.0,60
91,Joker’s #1 Light Lager,AMERICAN LAGER,LAGER,2019.0,1,Mash,149.0,90
91,Joker’s #1 Light Lager,AMERICAN LAGER,LAGER,2019.0,2,Mash Out,168.0,10
92,Old Helen Helles Exportbier,HELLES,OTHER,2019.0,1,Mash,152.0,60
93,SunRaker German Pils,GERMAN PILSNER,LAGER,2019.0,1,Mash,149.0,60
93,SunRaker German Pils,GERMAN PILSNER,LAGER,2019.0,2,Mash Out,169.0,10
94,Winnebago International Amber Lager,Amber Lager,LAGER,2019.0,1,Mash,152.0,60
95,May the Schwartz Be With You,DARK LAGER,LAGER,2019.0,1, Mash,154.0,45
96,Four the Win (FTW) Belgian Dark Strong,BELGIAN ALE,BELGIAN,2019.0,1,Initial Mash,144.0,30
96,Four the Win (FTW) Belgian Dark Strong,BELGIAN ALE,BELGIAN,2019.0,2,Saccharification Rest,156.0,30
97,Tropic Sun Sour,FRUIT BEER,OTHER,2019.0,1,Protein Rest,122.0,10
97,Tropic Sun Sour,FRUIT BEER,OTHER,2019.0,2,Mash,154.0,70
97,Tropic Sun Sour,FRUIT BEER,OTHER,2019.0,3,Mash Out,170.0,10
98,Richard’s Brownie Batter Imperial Stout,IMPERIAL STOUT,STOUT,2019.0,1,Mash,150.0,60
99,Blootered Bastart Barrel-aged Wee Heavy,AMBER ALE,AMBER_ALE,2019.0,1,Mash all grains except roast barley and chocolate malt,156.0,45
99,Blootered Bastart Barrel-aged Wee Heavy,AMBER ALE,AMBER_ALE,2019.0,2,Mash out with roasted barley and chocolate malt,168.0,10
100,Catharina’s Passion Sour,FRUIT BEER,OTHER,2019.0,1,Protein Rest,122.0,10
100,Catharina’s Passion Sour,FRUIT BEER,OTHER,2019.0,2,Saccharification Rest,153.0,60
100,Catharina’s Passion Sour,FRUIT BEER,OTHER,2019.0,3,Mash Out,168.0,10
101,Angie’s Bursting Citra II (AKA Juice),AMERICAN PALE ALE,IPA,2017.0,1,Mash,152.0,60
102,Pickelhaube Festbier,MARZEN,OTHER,2016.0,1,Protein rest,122.0,20
102,Pickelhaube Festbier,MARZEN,OTHER,2016.0,2,Decoction boil,168.0,15
102,Pickelhaube Festbier,MARZEN,OTHER,2016.0,3,Hold at decoction temp,150.0,60
102,Pickelhaube Festbier,MARZEN,OTHER,2016.0,4,Mash out,168.0,10
103,Pucker Up Baby Berliner Weisse,BERLINER WEISSE,SOUR,2014.0,1,Mash,150.0,60
104,Three Floyds Brewing Zombie Dust IPA Clone,IPA,IPA,2019.0,1,Mash,155.0,60
105,Cigar City Jai Alai IPA Classic Clone,IPA,IPA,2019.0,1,Mash,150.0,60
106,Curse Stout,CHOCOLATE BEER,OTHER,2019.0,1,,152.0,60
107,Boscos Famous Flaming Stone,HISTORICAL BEER,OTHER,2019.0,1,,154.0,60
108,Saison Capitale,BELGIAN ALE,BELGIAN,2019.0,1,Initial Mash,149.0,60
108,Saison Capitale,BELGIAN ALE,BELGIAN,2019.0,2,Mash-Out,168.0,10
109,Tropicalia Catharina Sour,FRUIT BEER,OTHER,2019.0,1,Mash,147.0,90
112,Eubayanus Brown Porter,AMERICAN PORTER,PORTER,2016.0,1,Mash,152.0,60
113,Austrian Expat Dark Mexican Lager,DARK LAGER,LAGER,2017.0,1,Mash rest,148.0,60
113,Austrian Expat Dark Mexican Lager,DARK LAGER,LAGER,2017.0,2,Mash out,168.0,10
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,1,Initial Rest,131.0,15
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,2,Rest 2,148.0,30
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,3,Rest 3,162.0,30
114,Probably the Best Beer in the…House,HELLES,OTHER,2019.0,4,Mash out,168.0,5
115,Trappist Tripel,BELGIAN ALE,BELGIAN,2019.0,1,Mash,149.0,75
116,Mt. Brandon Irish Stout,IRISH STOUT,STOUT,2016.0,1,Mash,150.0,30
117,Aztec-style Brown Ale,BROWN ALE,BROWN_ALE,2016.0,1,Mash,154.0,60
118,Two Blue Dogs Barleywine,BARLEYWINE,STRONG_ALE,2011.0,1,,150.0,60
119,Battlecow Galacticose New England IPA (Partial Mash),HAZY / NEW ENGLAND IPA,IPA,2019.0,1,Mash,155.0,60
120,Trans-Atlantic Blonde Ale,BLONDE ALE,BLONDE_PALE,2019.0,1,Mash,154.0,60
121,Helicious Helles,HELLES,OTHER,2010.0,1,Protein Rest,130.0,10
121,Helicious Helles,HELLES,OTHER,2010.0,2,Main Mash,148.0,60
121,Helicious Helles,HELLES,OTHER,2010.0,3,Mash Out,168.0,1
122,Fortis Exordium Strong English Ale,OLD ALE,OTHER,2019.0,1,Mash,156.0,60
123,Bunga-Toggles Agave-laced Barleywine,BARLEYWINE,STRONG_ALE,2008.0,1,Initial mash,132.0,30
123,Bunga-Toggles Agave-laced Barleywine,BARLEYWINE,STRONG_ALE,2008.0,2,Mash out,167.0,-1
124,Black Hole Sun Baltic Porter,BALTIC PORTER,PORTER,2019.0,1,Mash,156.0,45
124,Black Hole Sun Baltic Porter,BALTIC PORTER,PORTER,2019.0,2,Mash-Out,168.0,10
125,Funkwerks Saison,BELGIAN ALE,BELGIAN,2019.0,1,Initial Mash,122.0,20
125,Funkwerks Saison,BELGIAN ALE,BELGIAN,2019.0,2,Saccharification Rest,149.0,60
125,Funkwerks Saison,BELGIAN ALE,BELGIAN,2019.0,3,Mash Out,158.0,0
126,Corporal Catbox New England IPA,HAZY / NEW ENGLAND IPA,IPA,2019.0,1,Mash,152.0,60
127,La Bomba Belgian Golden Strong,BELGIAN ALE,BELGIAN,2018.0,1,Mash,150.0,60
128,Gone for a Burton Brown Ale,BROWN ALE,BROWN_ALE,2018.0,1,Rest 1,149.0,45
128,Gone for a Burton Brown Ale,BROWN ALE,BROWN_ALE,2018.0,2,Rest 2,158.0,60
129,Deer Crossing Kellerbier,HELLES,OTHER,2019.0,1,Mash In,152.0,90
129,Deer Crossing Kellerbier,HELLES,OTHER,2019.0,2,Mash Out,168.0,10
130,A2 Brew Tay,IPA,IPA,2019.0,1,Mash Rest,152.0,45
131,Amahl’s English Brown Ale,BROWN ALE,BROWN_ALE,2019.0,1,Mash in,153.0,60
132,Strength In Numbers Dark Vienna Lager,AMBER LAGER,LAGER,2019.0,1,Mash at 152\u00b0F,152.0,60
132,Strength In Numbers Dark Vienna Lager,AMBER LAGER,LAGER,2019.0,2,Add Midnight Wheat after 30 minutes into mash,152.0,30
133,Betty’s Brown Ale,AMERICAN BROWN ALE,BROWN_ALE,2019.0,1,Mash,152.0,60
134,Sierra Nevada Resilience IPA,AMERICAN IPA,IPA,2018.0,1,Mash,152.0,60
134,Sierra Nevada Resilience IPA,AMERICAN IPA,IPA,2018.0,2,Mash Out,168.0,10
135,Puna Coast Black Lager,DARK LAGER,LAGER,2002.0,1,stability hold,132.0,30
135,Puna Coast Black Lager,DARK LAGER,LAGER,2002.0,2,step up,157.0,30
135,Puna Coast Black Lager,DARK LAGER,LAGER,2002.0,3,final step,167.0,15
136,Stone 7th Anniversary Ale,AMERICAN PALE ALE,IPA,2006.0,1,mash,150.0,60
137,Velveteen Caramel,AMBER ALE,AMBER_ALE,2012.0,1,Mash,156.0,60
138,Bell’s Two Hearted Ale Clone,AMERICAN IPA,IPA,,1,Hybrid mash,150.0,45
138,Bell’s Two Hearted Ale Clone,AMERICAN IPA,IPA,,2,Ramp to mash out,170.0,15
138,Bell’s Two Hearted Ale Clone,AMERICAN IPA,IPA,,3,Rest at mash out,170.0,10
139,Sun-Dried Sour,FRUITED SOUR,SOUR,2018.0,1,ferulic acid rest,113.0,20
139,Sun-Dried Sour,FRUITED SOUR,SOUR,2018.0,2,mash,156.0,60
140,Great Feats of Strength Imperial Stout,IMPERIAL STOUT,STOUT,2017.0,1,Mash,156.0,60
141,Lupulin Madness IPA,AMERICAN IPA,IPA,2018.0,1,Initial Mash,149.0,45
141,Lupulin Madness IPA,AMERICAN IPA,IPA,2018.0,2,Rest at 158\u00b0F,158.0,60
142,Melissa and Patty’s Saison,BELGIAN ALE,BELGIAN,2018.0,1,Mash,147.0,90
143,Honey Squished IPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,1,Mash,152.0,60
144,Charlie’s Visionary Mild,AMERICAN BROWN ALE,BROWN_ALE,2016.0,1,Initial mash,132.0,30
144,Charlie’s Visionary Mild,AMERICAN BROWN ALE,BROWN_ALE,2016.0,2,Saccharification rest,155.0,30
144,Charlie’s Visionary Mild,AMERICAN BROWN ALE,BROWN_ALE,2016.0,3,Mash out,167.0,0
145,Storm Surge Baltic Porter,BALTIC PORTER,PORTER,2011.0,1,Mash,148.0,90
145,Storm Surge Baltic Porter,BALTIC PORTER,PORTER,2011.0,2,Mash Out,162.0,10
146,Tropical Haze New England IPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,1,Mash,150.0,60
147,Alright Already Amber,AMBER ALE,AMBER_ALE,2009.0,1,Mash,152.0,60
148,The Big Hopper Imperial IPA,IMPERIAL / DOUBLE IPA,IPA,2010.0,1,Mash in,152.0,60
148,The Big Hopper Imperial IPA,IMPERIAL / DOUBLE IPA,IPA,2010.0,2,Mash out,168.0,5
151,"Tall, Dark and Bready",DUNKELWEIZEN,LAGER,2018.0,1,Protein Rest,122.0,20
151,"Tall, Dark and Bready",DUNKELWEIZEN,LAGER,2018.0,2,Main Mash,150.0,30
151,"Tall, Dark and Bready",DUNKELWEIZEN,LAGER,2018.0,3,Mash Out,168.0,0
152,Brother Levonian Saison,BELGIAN ALE,BELGIAN,2009.0,1,First Mash,122.0,15
152,Brother Levonian Saison,BELGIAN ALE,BELGIAN,2009.0,2,Main Mash,151.0,75
152,Brother Levonian Saison,BELGIAN ALE,BELGIAN,2009.0,3,Mash Out,160.0,0
154,Just Rye’te,AMERICAN PALE ALE,IPA,2016.0,1,Primary Mash,152.0,60
155,Bell’s Brewery Expedition Stout Clone,IMPERIAL STOUT,STOUT,2002.0,1,main mash,150.0,20
156,Jack of All Saisons,BELGIAN ALE,BELGIAN,2018.0,1,Mash Rest,150.0,60
157,Smoked Pumpkin Saison,BELGIAN ALE,BELGIAN,2018.0,1,Mash rest,150.0,60
158,Count Orloque Saison,BELGIAN ALE,BELGIAN,2018.0,1,Mash rest,150.0,60
159,WeldWerks Brewing Juicy Bits NEIPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,1,Saccharification rest,149.0,45
160,New Holland Dragon’s Milk Bourbon Barrel-Aged Stout,IMPERIAL STOUT,STOUT,2018.0,1,,156.0,60
161,Allagash White Clone,BELGIAN ALE,BELGIAN,2018.0,1,Mash,150.0,60
163,Anchor Brewing Old Foghorn,BARLEYWINE,STRONG_ALE,2018.0,1,Mash Rest,155.0,60
164,Sierra Nevada Bigfoot Barleywine (ver. 2),BARLEYWINE,STRONG_ALE,2018.0,1,Mash,151.0,60
165,Caliente Tejano Pepper Cream Ale,CREAM ALE,BLONDE_PALE,2018.0,1,,150.0,60
166,Embracing Sunset Lager,AMBER LAGER,LAGER,2002.0,1,Initial Rest,132.0,30
166,Embracing Sunset Lager,AMBER LAGER,LAGER,2002.0,2,Sacrifice and Raise temp,157.0,30
166,Embracing Sunset Lager,AMBER LAGER,LAGER,2002.0,3,Mash Out,167.0,0
167,Peach IPA,FRUIT BEER,OTHER,2016.0,1,Mash,150.0,75
168,The Blue Devils BGSA,BELGIAN ALE,BELGIAN,2016.0,1,Initial mash,147.0,60
168,The Blue Devils BGSA,BELGIAN ALE,BELGIAN,2016.0,2,Raised mash,151.0,30
168,The Blue Devils BGSA,BELGIAN ALE,BELGIAN,2016.0,3,Mash out,168.0,10
169,"The Kernel Imperial Brown Stout, London 1856",HISTORICAL BEER,OTHER,2013.0,1,,148.0,90
170,Rocky Raccoon’s Honey Lager,AMERICAN LAGER,LAGER,2016.0,1,Initial Mash,132.0,30
170,Rocky Raccoon’s Honey Lager,AMERICAN LAGER,LAGER,2016.0,2,Protein Rest or step to 155\u00b0F,155.0,30
170,Rocky Raccoon’s Honey Lager,AMERICAN LAGER,LAGER,2016.0,3,Mash Out,167.0,0
171,Dusty Mud Irish-Style Stout,STOUT,STOUT,2000.0,1,Mash,152.0,60
172,Kathleen’s Spruce Ale,AMERICAN PALE ALE,IPA,2018.0,1,Mash,154.0,60
174,Two Flamingoes Strawberry Milkshake IPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,1,Mash,150.0,60
175,Grisette de Saison,BELGIAN ALE,BELGIAN,2018.0,1,Rest at 42\u00b0C,108.0,10
175,Grisette de Saison,BELGIAN ALE,BELGIAN,2018.0,2,Rest at 52\u00b0C,126.0,15
175,Grisette de Saison,BELGIAN ALE,BELGIAN,2018.0,3,Rest at 65\u00b0C,149.0,50
175,Grisette de Saison,BELGIAN ALE,BELGIAN,2018.0,4,Rest at 72\u00b0C,162.0,30
176,Ordinary Grisette,BELGIAN ALE,BELGIAN,2018.0,1,Rest at 42\u00b0C,108.0,10
176,Ordinary Grisette,BELGIAN ALE,BELGIAN,2018.0,2,Rest at 52\u00b0C,126.0,15
176,Ordinary Grisette,BELGIAN ALE,BELGIAN,2018.0,3,Rest at 65\u00b0C,149.0,50
176,Ordinary Grisette,BELGIAN ALE,BELGIAN,2018.0,4,Rest at 72\u00b0C,162.0,30
177,Stew’s Brew Imperial Black IPA,IPA,IPA,2018.0,1,Mash,150.0,60
178,Stew’s Brew Hefeweizen,HEFEWEIZEN,WHEAT_BEER,2018.0,1,Protein Rest,122.0,20
178,Stew’s Brew Hefeweizen,HEFEWEIZEN,WHEAT_BEER,2018.0,2,Saccharification Rest,150.0,60
178,Stew’s Brew Hefeweizen,HEFEWEIZEN,WHEAT_BEER,2018.0,3,Mash Out,168.0,0
179,Westbound Quad,BELGIAN ALE,BELGIAN,2018.0,1,Mash,149.0,75
180,Bleu Reserve,BELGIAN ALE,BELGIAN,2018.0,1,Mash rest,149.0,75
181,Big Star Lager,AMERICAN PILSNER,LAGER,2018.0,1,Mash,145.0,30
181,Big Star Lager,AMERICAN PILSNER,LAGER,2018.0,2,Raise temperature,160.0,20
181,Big Star Lager,AMERICAN PILSNER,LAGER,2018.0,3,Rest,160.0,15
182,Simple Pils,GERMAN PILSNER,LAGER,2018.0,1,Mash,145.0,30
182,Simple Pils,GERMAN PILSNER,LAGER,2018.0,2,Rest and raise temp,160.0,15
183,Chrysanthemum Flower Tea Kölsch,HYBRID BEER,OTHER,2018.0,1,Mash,150.0,60
184,TukTukTea IPA,IPA,IPA,2018.0,1,mash,153.0,60
185,Choc Full O’ Cherry Porter,FRUIT BEER,OTHER,2007.0,1,Mash at 152\u00b0F,152.0,60
186,John’s “World Famous” Dark Lager,DARK LAGER,LAGER,,1,Mash,152.0,45
188,Just Another Pretty Face,BARLEYWINE,STRONG_ALE,2017.0,1,Mash in,154.0,60
189,American-Style Cascadian India Dark Double Black IPA (ASCIDDBIPA),IPA,IPA,2018.0,1,primary mash,150.0,60
189,American-Style Cascadian India Dark Double Black IPA (ASCIDDBIPA),IPA,IPA,2018.0,2,mash out,168.0,10
190,Bru’n Dry Stout,IRISH STOUT,STOUT,2013.0,1,Mash,148.0,60
190,Bru’n Dry Stout,IRISH STOUT,STOUT,2013.0,2,Mash out,168.0,0
191,Organic Juniper Porter,BALTIC PORTER,PORTER,2005.0,1,Mash,152.0,60
192,Right on Hoover Hefeweizen,HEFEWEIZEN,WHEAT_BEER,2018.0,1,Mash,148.0,60
194,Psychedelic Weisse (Berliner Weisse with Dragon Fruit and Guava),BERLINER WEISSE,SOUR,2017.0,1,Mash Step 1,131.0,10
194,Psychedelic Weisse (Berliner Weisse with Dragon Fruit and Guava),BERLINER WEISSE,SOUR,2017.0,2,Mash Step 2,150.0,60
194,Psychedelic Weisse (Berliner Weisse with Dragon Fruit and Guava),BERLINER WEISSE,SOUR,2017.0,3,Mash Out,172.0,10
195,American IPA con Pomelo Rosado (Pink Grapefruit American IPA),AMERICAN IPA,IPA,2017.0,1,Mash,150.0,90
196,Barley Phillip Irish Red,AMBER ALE,AMBER_ALE,2018.0,1,Mash at 148\u00b0F,148.0,60
196,Barley Phillip Irish Red,AMBER ALE,AMBER_ALE,2018.0,2,Ramp to 168\u00b0F over 20 minutes,168.0,20
196,Barley Phillip Irish Red,AMBER ALE,AMBER_ALE,2018.0,3,Hold at 168\u00b0F for 10 minutes,168.0,10
197,Terre au Verre,BELGIAN ALE,BELGIAN,2018.0,1,Mash,150.0,60
198,Pirate of the Baltic Porter,Baltic Porter,PORTER,2012.0,1,,149.0,60
199,Cherry Dubbel,BELGIAN ALE,BELGIAN,2007.0,1,Initial Mash,150.0,30
199,Cherry Dubbel,BELGIAN ALE,BELGIAN,2007.0,2,Mash rest,155.0,30
201,Höfter’s Blanc Pale Ale,AMERICAN PALE ALE,IPA,2017.0,1,Initial Rest,145.0,20
201,Höfter’s Blanc Pale Ale,AMERICAN PALE ALE,IPA,2017.0,2,Step-up to 155\u00b0F,155.0,40
203,Squeeze the Day,FRUITED SOUR,SOUR,2017.0,1,Mash,154.0,60
204,Imperial Rice Pilsner,PILSNER,LAGER,2017.0,1,Protein rest,122.0,20
204,Imperial Rice Pilsner,PILSNER,LAGER,2017.0,2,Main mash stabilization,149.0,50
204,Imperial Rice Pilsner,PILSNER,LAGER,2017.0,3,Mash out,168.0,10
205,SMASH Bohemian Pils,CZECH / BOHO PILS,LAGER,2017.0,1,Mash in,122.0,20
205,SMASH Bohemian Pils,CZECH / BOHO PILS,LAGER,2017.0,2,Step raise to mash temp,151.0,60
205,SMASH Bohemian Pils,CZECH / BOHO PILS,LAGER,2017.0,3,Mash out,168.0,10
206,Siebte Flasche,HEFEWEIZEN,WHEAT_BEER,2017.0,1,Ferulic Acid Rest,113.0,10
206,Siebte Flasche,HEFEWEIZEN,WHEAT_BEER,2017.0,2,Protein Rest,122.0,10
206,Siebte Flasche,HEFEWEIZEN,WHEAT_BEER,2017.0,3,Saccharification,147.0,5
206,Siebte Flasche,HEFEWEIZEN,WHEAT_BEER,2017.0,4,Decoction,147.0,5
206,Siebte Flasche,HEFEWEIZEN,WHEAT_BEER,2017.0,5,Decoction rests,152.0,10
206,Siebte Flasche,HEFEWEIZEN,WHEAT_BEER,2017.0,6,Decoction rests,158.0,20
206,Siebte Flasche,HEFEWEIZEN,WHEAT_BEER,2017.0,7,Mash Out,168.0,90
208,Rye the Heck Not?,WHEAT & RYE BEER,WHEAT_BEER,2012.0,1,Mash-in,122.0,30
208,Rye the Heck Not?,WHEAT & RYE BEER,WHEAT_BEER,2012.0,2,Mash raise,154.0,70
210,Jamil’s Extra Yellow,AMERICAN LAGER,LAGER,,1,Mash,149.0,60
