"title","style","year","url","original_category","final_category","medal","batch_size_gal","og","fg","abv_pct","ibu","srm","efficiency_pct","malts_json","hops_json","yeast_json","adjuncts_json","num_malts","num_hops","num_adjuncts","mash_type","mash_steps_json","num_mash_steps","boil_time_min","fermentation_stages_json","num_fermentation_stages","water_description","water_Ca_ppm","water_Mg_ppm","water_Na_ppm","water_Cl_ppm","water_SO4_ppm","water_HCO3_ppm","water_salt_additions_json","water_volume_gal","extract_version"
"TukTukTea IPA","IPA","2018.0","https://www.homebrewersassociation.org/homebrew-recipe/tuktuktea-ipa/","['Extract', 'All-Grain', 'Ale']","Beer","NHC GOLD","5.0","1.067","1.019","6.3","48.0","7.8","","[{""name"": ""Maris Otter"", ""amount"": 10.5, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Weyermann Munich"", ""amount"": 225.0, ""unit"": ""g"", ""color_L"": null}, {""name"": ""Belgian CaraMunich"", ""amount"": 112.0, ""unit"": ""g"", ""color_L"": null}, {""name"": ""Crisp 30\\u00b0 L crystal malt"", ""amount"": 112.0, ""unit"": ""g"", ""color_L"": null}]","[{""name"": ""Fuggle"", ""amount"": 5.5, ""unit"": ""oz"", ""alpha_acid_pct"": 4.5, ""time_min"": 90, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""East Kent Goldings"", ""amount"": 2.0, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": 90, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""East Kent Goldings"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": null, ""usage"": ""whirlpool"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""oolong tea"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 2, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""oolong tea"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": null, ""usage"": ""whirlpool"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Centennial"", ""amount"": 2.4, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": 90, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cha Dem Yen (Thai black tea)"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 2, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Motueka"", ""amount"": 2.0, ""unit"": ""oz"", ""alpha_acid_pct"": 7.0, ""time_min"": 2, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cha Dem Yen (Thai black tea)"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": null, ""usage"": ""whirlpool"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Motueka"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 7.0, ""time_min"": null, ""usage"": ""whirlpool"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""Wyeast 1056"", ""brand"": ""Wyeast"", ""product_code"": null, ""starter_volume_L"": null}","[{""item"": ""lactose"", ""amount"": 8.0, ""unit"": ""oz"", ""category"": ""sugar"", ""timing"": ""boil"", ""purpose"": null, ""notes"": null}, {""item"": ""crushed Caramunich and crystal malts"", ""amount"": null, ""unit"": null, ""category"": ""grain steep"", ""timing"": ""30 min at 155\\u00b0F"", ""purpose"": null, ""notes"": null}]","4","10","2","Single Infusion","[{""name"": ""mash"", ""temp_F"": 153.0, ""time_min"": 60}]","1","90.0","[{""stage"": ""Primary"", ""start_temp_F"": null, ""end_temp_F"": null, ""duration_days"": null, ""ramp_per_day_F"": null}]","1","","","","","","","","[]","","Replace Malts with 9 lb. liquid malt extract, steep grains for 30 min at 155°F, dissolve extract, top up to volume, continue as above"
"Choc Full O’ Cherry Porter","FRUIT BEER","2007.0","https://www.homebrewersassociation.org/homebrew-recipe/choc-full-o-cherry-porter/","['Extract', 'All-Grain', 'Ale']","Beer","No Medal","5.0","1.075","","","30.0","38.0","75.0","[{""name"": ""Pilsner malt"", ""amount"": 2.5, ""unit"": ""lb"", ""color_L"": 1.6}, {""name"": ""Munich malt"", ""amount"": 10.0, ""unit"": ""lb"", ""color_L"": 8.0}, {""name"": ""dark crystal munch malt"", ""amount"": 0.75, ""unit"": ""lb"", ""color_L"": 80.0}, {""name"": ""melanoidin malt"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": 33.0}, {""name"": ""Carafa\\u00ae (r\\u00f6stmalz) malt"", ""amount"": 0.5, ""unit"": ""lb"", ""color_L"": 470.0}]","[{""name"": ""Northern Brewer pellets"", ""amount"": 0.7, ""unit"": ""oz"", ""alpha_acid_pct"": 8.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Northern Brewer pellets"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 8.0, ""time_min"": 30, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""European Ale Yeast"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": null}","[{""item"": ""frozen sour cherries"", ""amount"": null, ""unit"": ""lb"", ""category"": ""fruit"", ""timing"": ""secondary"", ""purpose"": null, ""notes"": null}, {""item"": ""roasted cocoa nibs, crushed lightly"", ""amount"": null, ""unit"": ""lb"", ""category"": ""spice"", ""timing"": ""secondary"", ""purpose"": null, ""notes"": null}]","5","2","2","Step Mash","[{""name"": ""Mash at 152\\u00b0F"", ""temp_F"": 152.0, ""time_min"": 60}]","1","","[{""stage"": ""Primary"", ""start_temp_F"": null, ""end_temp_F"": null, ""duration_days"": null, ""ramp_per_day_F"": null}, {""stage"": ""Secondary"", ""start_temp_F"": null, ""end_temp_F"": null, ""duration_days"": 14, ""ramp_per_day_F"": null}]","2","","","","","","","","","","Mini-mash substitution: substituting 5.5 lb. amber dry extract for the Munich malt and mashing the rest at 150°F (66°C) for 1 hour, adding drained sparged wort to the extract."
"John’s “World Famous” Dark Lager","DARK LAGER","","https://www.homebrewersassociation.org/homebrew-recipe/johns-world-famous-dark-lager/","['Extract', 'All-Grain', 'Ale']","Beer","No Medal","5.0","1.048","","","47.0","23.0","","[{""name"": ""Pilsner malt"", ""amount"": 5.75, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Munich 10L"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Crystal 60L"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Crystal 15L or Cara-pils"", ""amount"": 0.6, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Weyermann Carafa Special II"", ""amount"": 0.5, ""unit"": ""lb"", ""color_L"": null}]","[{""name"": ""Perle pellets"", ""amount"": 1.25, ""unit"": ""oz"", ""alpha_acid_pct"": 7.5, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Sterling pellets"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 7.5, ""time_min"": 0, ""usage"": ""flameout"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""Wyeast 2633 Oktoberfest Blend"", ""brand"": ""Wyeast"", ""product_code"": null, ""starter_volume_L"": null}","[]","5","2","0","Single Infusion","[{""name"": ""Mash"", ""temp_F"": 152.0, ""time_min"": 45}]","1","60.0","[{""stage"": ""Primary"", ""start_temp_F"": 55.0, ""end_temp_F"": 55.0, ""duration_days"": null, ""ramp_per_day_F"": null}]","1","","","","","","","","","","Substitute 4.5 lb Pilsner LME and 0.5 lb Munich LME for the malts."
"Smokey the Beer II (Partial-Mash)","RAUCHBIER","2018.0","https://www.homebrewersassociation.org/homebrew-recipe/smokey-beer-ii-partial-mash/","['Extract', 'Lager']","Beer","No Medal","5.0","1.053","1.014","5.1","31.0","13.0","","[{""name"": ""Very light malt extract syrup"", ""amount"": 3.5, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Very light dry malt extract"", ""amount"": 3.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""German beechwood-smoked malt or American cherrywood-smoked malt"", ""amount"": 6.0, ""unit"": ""lb"", ""color_L"": null}]","[{""name"": ""Alsace Aramis"", ""amount"": 1.1, ""unit"": ""oz"", ""alpha_acid_pct"": 6.5, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Alsace Aramis"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 6.5, ""time_min"": 0, ""usage"": ""flameout"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Alsace Aramis"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 6.5, ""time_min"": 10, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": ""first dry hop at racking""}, {""name"": ""Alsace Aramis"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 6.5, ""time_min"": 7, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": ""second dry hop, 7\\u201310 days before kegging/bottling""}]","{""name"": ""White Labs Cry Havoc yeast"", ""brand"": ""White Labs"", ""product_code"": null, ""starter_volume_L"": null}","[{""item"": ""Irish moss"", ""amount"": 0.25, ""unit"": ""tsp"", ""category"": ""processing_aid"", ""timing"": ""boil"", ""purpose"": ""clarity"", ""notes"": null}, {""item"": ""corn sugar"", ""amount"": 0.75, ""unit"": ""cup"", ""category"": ""sugar"", ""timing"": ""priming"", ""purpose"": ""priming"", ""notes"": null}, {""item"": ""corn sugar"", ""amount"": 0.33, ""unit"": ""cup"", ""category"": ""sugar"", ""timing"": ""priming"", ""purpose"": ""priming"", ""notes"": ""for kegging""}]","3","4","3","","[]","0","60.0","[]","0","","","","","","","","","",""
"Just Another Pretty Face","BARLEYWINE","2017.0","https://www.homebrewersassociation.org/homebrew-recipe/just-another-pretty-face/","['Extract', 'All-Grain', 'Ale']","Beer","NHC GOLD","5.5","1.093","1.018","10.0","53.0","18.0","70.0","[{""name"": ""2-row pale malt"", ""amount"": 16.38, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""Briess aromatic malt"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""crystal 120\\u00b0 L"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""turbinado sugar"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": null}]","[{""name"": ""Challenger"", ""amount"": 2.0, ""unit"": ""oz"", ""alpha_acid_pct"": 9.6, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""UK Fuggle"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 4.0, ""time_min"": 10, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""WLP028 Edinburgh Ale Yeast"", ""brand"": ""White Labs"", ""product_code"": null, ""starter_volume_L"": null}","[{""item"": ""Whirlfloc tablet"", ""amount"": 1.0, ""unit"": ""tablet"", ""category"": ""processing_aid"", ""timing"": ""15 min"", ""purpose"": null, ""notes"": null}]","4","2","1","Single Infusion","[{""name"": ""Mash in"", ""temp_F"": 154.0, ""time_min"": 60}]","1","60.0","[{""stage"": ""Primary"", ""start_temp_F"": 68.0, ""end_temp_F"": 68.0, ""duration_days"": null, ""ramp_per_day_F"": null}]","1","Ca 32 ppm, Mg 9 ppm, Na 26 ppm, Cl 27 ppm, SO4 48 ppm, CaCO3 89 ppm","32.0","9.0","26.0","27.0","48.0","89.0","[]","","Substitute 12 lb. (5.4 kg) pale liquid malt extract syrup for the 2-row pale malt. Steep remaining malts in 155° F (68° C) water for 30 minutes, dissolve extract, and proceed with the boil as above."
"American-Style Cascadian India Dark Double Black IPA (ASCIDDBIPA)","IPA","2018.0","https://www.homebrewersassociation.org/homebrew-recipe/american-style-cascadian-india-dark-double-black-ipa-asciddbipa/","['Extract', 'All-Grain', 'Ale']","Beer","No Medal","5.5","1.07","1.01","7.8","75.0","28.0","","[{""name"": ""pale 2-row malt"", ""amount"": 11.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""corn sugar"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""525\\u00b0 L Carafa III"", ""amount"": 12.0, ""unit"": ""oz"", ""color_L"": 525.0}, {""name"": ""80\\u00b0 L crystal malt"", ""amount"": 12.0, ""unit"": ""oz"", ""color_L"": 80.0}]","[{""name"": ""Columbus/Tomahawk/Zeus"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 12.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 4.4, ""time_min"": 10, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Centennial"", ""amount"": 1.0, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": 10, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Chinook"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": 13.0, ""time_min"": 5, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": 4.4, ""time_min"": 20, ""usage"": ""steep/whirlpool"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": 20, ""biotransformation"": null, ""notes"": null}, {""name"": ""Centennial"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": 10.0, ""time_min"": 20, ""usage"": ""steep/whirlpool"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": 20, ""biotransformation"": null, ""notes"": null}, {""name"": ""Cascade"", ""amount"": 3.0, ""unit"": ""oz"", ""alpha_acid_pct"": 4.4, ""time_min"": null, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Chinook"", ""amount"": 3.0, ""unit"": ""oz"", ""alpha_acid_pct"": 13.0, ""time_min"": null, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""American/Chico ale yeast"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": null}","[]","4","8","0","Single Infusion","[{""name"": ""primary mash"", ""temp_F"": 150.0, ""time_min"": 60}, {""name"": ""mash out"", ""temp_F"": 168.0, ""time_min"": 10}]","2","60.0","[{""stage"": ""Primary"", ""start_temp_F"": 65.0, ""end_temp_F"": 68.0, ""duration_days"": 2, ""ramp_per_day_F"": null}]","1","1 g/gal calcium sulfate added to reverse osmosis or distilled water","","","","","","","[{""salt_type"": ""calcium sulfate"", ""amount"": 1.0, ""unit"": ""g"", ""notes"": null}]","","Substitute 8.5 lb. (3.86 kg) pale malt extract syrup for pale malt. Steep specialty grains in reverse osmosis water at 155°F (68°C) for 30 minutes. Then dissolve extract and sugar completely in reverse osmosis water and top off to desired boil volume. Proceed as above."
"Bru’n Dry Stout","IRISH STOUT","2013.0","https://www.homebrewersassociation.org/homebrew-recipe/brun-dry-stout/","['Extract', 'All-Grain', 'Ale']","Beer","No Medal","5.5","1.042","1.012","","36.0","31.0","76.0","[{""name"": ""two-row pale malt"", ""amount"": 6.5, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""flaked barley"", ""amount"": 1.3, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""roast barley"", ""amount"": 14.0, ""unit"": ""oz"", ""color_L"": null}]","[{""name"": ""East Kent Goldings"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""East Kent Goldings"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 5.0, ""time_min"": 15, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""Irish ale yeast (WLP004 or WYEAST 1084)"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": null}","[]","3","2","0","Single Infusion","[{""name"": ""Mash"", ""temp_F"": 148.0, ""time_min"": 60}, {""name"": ""Mash out"", ""temp_F"": 168.0, ""time_min"": 0}]","2","60.0","[{""stage"": ""Primary"", ""start_temp_F"": 68.0, ""end_temp_F"": 68.0, ""duration_days"": 14, ""ramp_per_day_F"": null}]","1","Low-alkalinity water, acidified as necessary to achieve appropriate mash pH and sparge pH.","","","","","","","[{""salt_type"": ""gypsum"", ""amount"": 0.5, ""unit"": ""tsp"", ""notes"": ""per 8 gallons""}, {""salt_type"": ""calcium chloride"", ""amount"": 0.5, ""unit"": ""tsp"", ""notes"": ""per 8 gallons""}]","","A partial mash is recommended to help break down the flaked barley. Mash 2 lb. (0.9 kg) of pale malt with flaked barley in low-alkalinity water at 120–150°F (49–65°C) (lower temperature is better) for 60 minutes. Add roast barley at the end of the mash. Sparge mash with low-alkalinity water (acidified as above). Substitute 3.5 lb. (1.59 kg) of liquid pale malt in the recipe. Use low-alkalinity water to dilute extract. Boil as indicated above."
"Organic Juniper Porter","BALTIC PORTER","2005.0","https://www.homebrewersassociation.org/homebrew-recipe/organic-juniper-porter/","['Extract', 'Ale']","Beer","No Medal","5.5","1.059","1.015","5.7","38.0","","","[{""name"": ""organic pale malt extract"", ""amount"": 2.0, ""unit"": ""kg"", ""color_L"": null}, {""name"": ""Hugh Baird pale two-row organic malt"", ""amount"": 0.9, ""unit"": ""kg"", ""color_L"": null}, {""name"": ""Briess Organic Munich malt"", ""amount"": 0.45, ""unit"": ""kg"", ""color_L"": null}, {""name"": ""Briess Organic caramel 60\\u00b0L malt"", ""amount"": 0.34, ""unit"": ""kg"", ""color_L"": null}, {""name"": ""Briess Organic chocolate malt"", ""amount"": 0.34, ""unit"": ""kg"", ""color_L"": null}]","[{""name"": ""New Zealand Pacific Gem"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": 31.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""New Zealand Hallertauer"", ""amount"": 0.25, ""unit"": ""oz"", ""alpha_acid_pct"": 7.0, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""New Zealand Hallertauer"", ""amount"": 0.75, ""unit"": ""oz"", ""alpha_acid_pct"": 7.0, ""time_min"": 0, ""usage"": ""flameout"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""English Ale liquid yeast"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": null}","[{""item"": ""organic juniper berries"", ""amount"": 1.0, ""unit"": ""oz"", ""category"": ""fruit"", ""timing"": ""boil"", ""purpose"": null, ""notes"": null}, {""item"": ""Irish moss"", ""amount"": 0.25, ""unit"": ""tsp"", ""category"": ""processing_aid"", ""timing"": ""boil"", ""purpose"": null, ""notes"": null}, {""item"": ""gypsum"", ""amount"": 2.0, ""unit"": ""tsp"", ""category"": ""salt"", ""timing"": ""boil"", ""purpose"": null, ""notes"": null}, {""item"": ""organic malt extract"", ""amount"": 1.0, ""unit"": ""cup"", ""category"": ""sugar"", ""timing"": ""boil"", ""purpose"": null, ""notes"": null}]","5","3","4","Single Infusion","[{""name"": ""Mash"", ""temp_F"": 152.0, ""time_min"": 60}]","1","60.0","[{""stage"": ""Primary"", ""start_temp_F"": 68.0, ""end_temp_F"": 68.0, ""duration_days"": 7, ""ramp_per_day_F"": null}, {""stage"": ""Secondary"", ""start_temp_F"": 68.0, ""end_temp_F"": 68.0, ""duration_days"": 7, ""ramp_per_day_F"": null}]","2","","","","","","","","","",""
"Right on Hoover Hefeweizen","HEFEWEIZEN","2018.0","https://www.homebrewersassociation.org/homebrew-recipe/right-hoover-hefeweizen/","['Extract', 'Ale']","Beer","No Medal","5.0","1.048","1.011","4.7","17.0","4.0","","[{""name"": ""Pilsner malt"", ""amount"": 2.25, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""red wheat malt"", ""amount"": 3.75, ""unit"": ""lb"", ""color_L"": null}]","[{""name"": ""Saaz"", ""amount"": 1.33, ""unit"": ""oz"", ""alpha_acid_pct"": 3.5, ""time_min"": 60, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""Wyeast 3068 Weihenstephan Weizen or White Labs WLP300 Hefeweizen Ale"", ""brand"": null, ""product_code"": null, ""starter_volume_L"": 1.2}","[{""item"": ""liquid wheat malt extract"", ""amount"": 2.13, ""unit"": ""lb"", ""category"": ""sugar"", ""timing"": null, ""purpose"": null, ""notes"": null}, {""item"": ""corn sugar"", ""amount"": 6.5, ""unit"": ""oz"", ""category"": ""sugar"", ""timing"": ""priming"", ""purpose"": null, ""notes"": null}, {""item"": ""corn sugar"", ""amount"": 9.5, ""unit"": ""oz"", ""category"": ""sugar"", ""timing"": ""priming"", ""purpose"": null, ""notes"": null}]","2","1","3","Partial Mash","[{""name"": ""Mash"", ""temp_F"": 148.0, ""time_min"": 60}]","1","75.0","[{""stage"": ""Primary"", ""start_temp_F"": 64.0, ""end_temp_F"": 64.0, ""duration_days"": 14, ""ramp_per_day_F"": null}]","1","","","","","","","","","",""
"Weekday Bock (Malt Extract)","BOCK","2018.0","https://www.homebrewersassociation.org/homebrew-recipe/weekday-bock-malt-extract/","['Extract']","Beer","No Medal","5.0","1.066","1.016","6.8","34.0","19.0","","[{""name"": ""light malt extract syrup"", ""amount"": 8.25, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""light dried malt extract"", ""amount"": 6.6, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""German Caramunich malt"", ""amount"": 1.0, ""unit"": ""lb"", ""color_L"": null}, {""name"": ""German acidulated malt"", ""amount"": 3.0, ""unit"": ""oz"", ""color_L"": null}]","[{""name"": ""German Hallertauer"", ""amount"": 2.0, ""unit"": ""oz"", ""alpha_acid_pct"": 4.4, ""time_min"": 75, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""German Hallertauer Hersbrucker"", ""amount"": 1.5, ""unit"": ""oz"", ""alpha_acid_pct"": 3.3, ""time_min"": 15, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Crystal"", ""amount"": 0.5, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": 1, ""usage"": ""boil"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}, {""name"": ""Crystal (dry hop)"", ""amount"": 0.33, ""unit"": ""oz"", ""alpha_acid_pct"": null, ""time_min"": null, ""usage"": ""dry hop"", ""whirlpool_temp_F"": null, ""whirlpool_duration_min"": null, ""biotransformation"": null, ""notes"": null}]","{""name"": ""White Labs Cry Havoc"", ""brand"": ""White Labs"", ""product_code"": null, ""starter_volume_L"": null}","[{""item"": ""Irish moss"", ""amount"": 1.0, ""unit"": ""g"", ""category"": ""processing_aid"", ""timing"": ""boil"", ""purpose"": ""clarity"", ""notes"": null}, {""item"": ""zinc fortified yeast"", ""amount"": 0.1, ""unit"": ""g"", ""category"": ""processing_aid"", ""timing"": ""fermentation"", ""purpose"": ""yeast nutrient"", ""notes"": null}, {""item"": ""corn sugar"", ""amount"": 3.75, ""unit"": ""cup"", ""category"": ""sugar"", ""timing"": ""bottling"", ""purpose"": ""priming"", ""notes"": null}, {""item"": ""corn sugar"", ""amount"": 0.33, ""unit"": ""cup"", ""category"": ""sugar"", ""timing"": ""bottling"", ""purpose"": ""priming"", ""notes"": null}]","4","4","4","","[]","0","75.0","[]","0","","","","","","","","","",""
