,style,beer_name,final_results,url,category
18,AMERICAN LAGER,Canoe-Chuck Lager,"['ABV: 4%', 'IBU: 11', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/canoe-chuck-lager/,Extract
19,IMPERIAL STOUT,Black Is Beautiful Imperial Stout (Countdown Brewing Version),"['ABV: 8.8%', 'IBU: 82', 'FG: 1.022 (5.6°P)']",https://www.homebrewersassociation.org/homebrew-recipe/black-is-beautiful-imperial-stout-countdown-brewing-version/,Extract
20,ENGLISH BITTER,Fuller’s Chiswick Bitter Clone,"['IBU: 33', 'OG: 1.040 (10°P)', 'FG: 1.010 (2.6°P)']",https://www.homebrewersassociation.org/homebrew-recipe/fullers-chiswick-bitter-clone/,Extract
21,BELGIAN ALE,Mad About Saison,"['ABV: 5.8% by volume', 'IBU: 30', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/mad-about-saison/,Extract
22,BELGIAN ALE,Witty Dutchman Witbier,"['ABV: 4.40%', 'IBU: 17', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/witty-dutchman-witbier/,Extract
23,AMERICAN WHEAT,Summer Wheat,"['ABV: 5%', 'IBU: 23', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/summer-wheat/,Extract
24,AMERICAN PALE ALE,Em Day’s Pale Ale,"['ABV: 5.1%', 'IBU: 38', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/em-days-pale-ale/,Extract
25,SPECIALTY IPA,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale","['IBU: 77', 'OG: 1.107']",https://www.homebrewersassociation.org/homebrew-recipe/quad-boiled-non-stopped-big-hopped-pretzel-topped-double-india-pale-ale/,Extract
26,AMERICAN BROWN ALE,Janet’s Brown Ale – Big Brew 2021,"['ABV: 7.4%', 'IBU: 38', 'SRM: 20']",https://www.homebrewersassociation.org/homebrew-recipe/janets-brown-ale-big-brew-2021/,Extract
27,BARLEYWINE,Big Bimp! American Barleywine,"['ABV: 10.31%', 'IBU: 100', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/big-bimp-american-barleywine/,Extract
28,PORTER,Baltic Bliss,"['ABV: 8.8%', 'IBU: 44', 'SRM: 34']",https://www.homebrewersassociation.org/homebrew-recipe/baltic-bliss/,Extract
29,PALE LAGER,Easy Peasy American Lager,"['ABV: 4.6%', 'IBU: 10', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/easy-peasy-american-lager/,Extract
30,IRISH STOUT,Full Stop Stout,"['ABV: 5.2%', 'IBU: 50', 'SRM: 56']",https://www.homebrewersassociation.org/homebrew-recipe/full-stop-stout/,Extract
31,UK/US STRONG ALE,Old School Barleywine,"['ABV: 10.00%', 'IBU: 95', 'SRM: 13']",https://www.homebrewersassociation.org/homebrew-recipe/old-school-barleywine/,Extract
32,PALE ALE,Columbus Pale Ale,"['ABV: 5.80%', 'IBU: 43', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/columbus-pale-ale/,Extract
33,BALTIC PORTER,Zek’s Porter,"['ABV: 9.40%', 'IBU: 38', 'SRM: 28']",https://www.homebrewersassociation.org/homebrew-recipe/beer-recipe-of-the-week-zeks-porter/,Extract
34,AMBER ALE,Mad Jack’s Hoppy Amber Ale,"['ABV: 6%', 'IBU: 33', 'SRM: 12-13']",https://www.homebrewersassociation.org/homebrew-recipe/mad-jacks-hoppy-amber-ale/,Extract
35,BELGIAN ALE,Stale Doughnut Belgian Pale Ale,"['ABV: 5% by volume', 'IBU: 23 IBU', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/stale-doughnut-belgian-pale-ale/,Extract
36,FRUIT BEER,Kumquat Citra Sour,"['ABV: 6.5% by volume', 'IBU: 20 IBU', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/kumquat-citra-sour/,Extract
37,WHEAT & RYE BEER,Nilsson American Wheat Ale,"['ABV: 4.8%', 'IBU: 15', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/nilsson-american-wheat-ale/,Extract
38,AMBER ALE,Simply Bone Idle Bitter,"['ABV: 3.80%', 'IBU: 10', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/simply-bone-idle/,Extract
39,AMBER ALE,West Seattle Amber Ale,"['ABV: 6.30%', 'IBU: 34', 'SRM: 15']",https://www.homebrewersassociation.org/homebrew-recipe/west-seattle-amber-ale/,Extract
40,BROWN ALE,Surly Coffee Bender,"['ABV: 5.50%', 'IBU: 35', 'SRM: 30']",https://www.homebrewersassociation.org/homebrew-recipe/surly-coffee-bender/,Extract
41,BELGIAN ALE,Avocado Saison,"['ABV: 6.1% by volume', 'IBU: 26', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/avocado-saison/,Extract
42,BELGIAN ALE,Saison Tropicale,"['ABV: 5.40%', 'IBU: 22', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/saison-tropicale/,Extract
43,BERLINER WEISSE,Monroe Weiss,"['ABV: 3.90%', 'SRM: 3', 'OG: 1.037 (9.3° P)']",https://www.homebrewersassociation.org/homebrew-recipe/monroe-weiss/,Extract
44,BERLINER WEISSE,Cariño Sour,"['ABV: 3%', 'IBU: 4', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/carino-sour/,Extract
45,HISTORICAL BEER,Golden Goblet Gruit Ale,"['ABV: 8.37', 'SRM: 5.7', 'OG: 1.074']",https://www.homebrewersassociation.org/homebrew-recipe/golden-goblet-gruit-ale/,Extract
46,BELGIAN ALE,Dubious Dubbel,"['ABV: 6.90%', 'IBU: 13', 'SRM: 18']",https://www.homebrewersassociation.org/homebrew-recipe/dubious-dubbel/,Extract
47,AMBER ALE,Mild Ale #3,"['ABV: 3.30%', 'IBU: 16', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/mild-ale-3/,Extract
48,AMERICAN IPA,Quarantine American IPA,"['ABV: 5.90%', 'IBU: 80', 'SRM: 6-7']",https://www.homebrewersassociation.org/homebrew-recipe/quarantine-american-ipa/,Extract
49,AMERICAN STOUT,Solstice American Stout,"['ABV: 7.20%', 'IBU: 37', 'SRM: 40']",https://www.homebrewersassociation.org/homebrew-recipe/solstice-american-stout/,Extract
50,AMERICAN IPA,One-Ply Rye IPA,"['ABV: 7.20%', 'IBU: 62', 'SRM: 9']",https://www.homebrewersassociation.org/homebrew-recipe/one-ply-rye-ipa/,Extract
51,STOUT,Tim’s Sweet Stout,"['ABV: 5.60%', 'IBU: 27', 'SRM: 41']",https://www.homebrewersassociation.org/homebrew-recipe/sweet-stout/,Extract
52,AMERICAN IPA,Pangaea Proxima Polar IPA,"['IBU: 60', 'SRM: 5', 'OG: 1.064']",https://www.homebrewersassociation.org/homebrew-recipe/pangaea-proxima-polar-ipa/,Extract
53,COFFEE BEER,Espresso Stout,"['IBU: 38', 'OG: 1.051']",https://www.homebrewersassociation.org/homebrew-recipe/espresso-stout/,Extract
54,SPECIALTY IPA,Easy Amber Ale,"['ABV: 4-5%', 'IBU: 45-60', 'SRM: 14']",https://www.homebrewersassociation.org/homebrew-recipe/easy-amber-ale/,Extract
55,IPA,Tuxedo Speedo Black IPA,"['IBU: 75', 'SRM: 33', 'OG: 1.067']",https://www.homebrewersassociation.org/homebrew-recipe/tuxedo-speedo-black-ipa/,Extract
56,AMERICAN IPA,Stone-Faced IPA,"['ABV: 6.70%', 'IBU: 52', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/stone-faced-ipa/,Extract
57,AMERICAN PILSNER,Jack’s Classic American Pilsner,"['ABV: 4.6%', 'IBU: 40 IBU', 'SRM: 3-4']",https://www.homebrewersassociation.org/homebrew-recipe/jacks-classic-american-pilsner/,Extract
58,IMPERIAL / DOUBLE IPA,Double White IPA,"['ABV: 8% by volume', 'IBU: 53 IBU', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/double-white-ipa/,Extract
59,STOUT,Toto Stout,"['ABV: 4.2% by volume', 'IBU: 31 IBU', 'SRM: 50']",https://www.homebrewersassociation.org/homebrew-recipe/toto-stout/,Extract
60,BARLEYWINE,Atahsaia Barleywine,"['IBU: 98', 'SRM: 12', 'OG: 1.093']",https://www.homebrewersassociation.org/homebrew-recipe/atahsaia-barleywine/,Extract
61,AMERICAN PORTER,Thames Porter,"['IBU: 27', 'SRM: 26', 'OG: 1.049']",https://www.homebrewersassociation.org/homebrew-recipe/thames-porter/,Extract
62,HELLES,Bruce Stott’s Dortmunder Export,"['ABV: 5.40%', 'IBU: 30', 'FG: 1.013']",https://www.homebrewersassociation.org/homebrew-recipe/bruce-stotts-dortmunder-export/,Extract
63,STOUT,WTG? Stout,"['ABV: 4.10%', 'SRM: 40', 'OG: 1.048 (12°P)']",https://www.homebrewersassociation.org/homebrew-recipe/wtg-stout/,Extract
64,FARMHOUSE BEER,Piwo Jopejskie,"['ABV: 4.5–12%', 'SRM: 10-12', 'OG: 1.205 (45°P)']",https://www.homebrewersassociation.org/homebrew-recipe/piwo-jopejskie/,Extract
65,BRAGGOT,Little Red Bird Braggot,"['ABV: 8.80%', 'IBU: 66', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/little-red-bird-braggot/,Extract
66,BERLINER WEISSE,Traditional Berliner Weisse,"['ABV: 3.60%', 'IBU: 5', 'SRM: 2']",https://www.homebrewersassociation.org/homebrew-recipe/traditional-berliner-weisse/,Extract
67,BELGIAN ALE,Chess with Checkers,"['ABV: 5.80%', 'IBU: 35', 'SRM: 3.7']",https://www.homebrewersassociation.org/homebrew-recipe/chess-with-checkers/,Extract
68,PALE LAGER,Leicht,"['ABV: 85%', 'IBU: 17', 'SRM: 7.5']",https://www.homebrewersassociation.org/homebrew-recipe/leicht/,Extract
69,SOUR ALE,Distemper Sour Ale,"['ABV: 7.70%', 'IBU: 13', 'FG: 1.014 (3.5°P)*']",https://www.homebrewersassociation.org/homebrew-recipe/distemper-sour-ale/,Extract
70,BROWN ALE,I Got Your Nukey Brown Ale,"['ABV: 5.70%', 'SRM: 16', 'OG: 1.050 (11.8°P)']",https://www.homebrewersassociation.org/homebrew-recipe/i-got-your-nukey-brown-ale/,Extract
71,ENGLISH PALE ALE,Dodgy Wanker,"['ABV: 3.70%', 'IBU: 42', 'SRM: 8']",https://www.homebrewersassociation.org/homebrew-recipe/dodgy-wanker/,Extract
72,ENGLISH PALE ALE,Newtonian ESB,"['ABV: 5.70%', 'IBU: 35', 'SRM: 13']",https://www.homebrewersassociation.org/homebrew-recipe/newtonian-esb/,Extract
73,AMERICAN PALE ALE,Majestic Sea Cow American Pale Ale,"['ABV: 5.30%', 'IBU: 34', 'SRM: 3–4']",https://www.homebrewersassociation.org/homebrew-recipe/majestic-sea-cow/,Extract
74,STOUT,Triple-X,"['ABV: 4.90%', 'IBU: 29', 'SRM: 39 (78 EBC)']",https://www.homebrewersassociation.org/homebrew-recipe/beer-recipe-of-the-week-triple-x/,Extract
75,DARK LAGER,Ginger Dinger 2017 Dark Lager,"['ABV: 4.80%', 'IBU: 31', 'SRM: 24']",https://www.homebrewersassociation.org/homebrew-recipe/ginger-dinger-2017-dark-lager/,Extract
76,SPICE & HERB BEER,Rogue Chocolate Stout Clone,"['ABV: 6.83%', 'IBU: 30', 'SRM: 25']",https://www.homebrewersassociation.org/homebrew-recipe/rogue-chocolate-stout-clone/,Extract
77,BELGIAN ALE,Future Forward Sour Saison,"['ABV: 5%', 'IBU: 20', 'SRM: 3-4']",https://www.homebrewersassociation.org/homebrew-recipe/future-forward-sour-saison/,Extract
78,COFFEE BEER,Peppermint Porter,"['ABV: 7.20%', 'IBU: 29', 'SRM: 22']",https://www.homebrewersassociation.org/homebrew-recipe/peppermint-porter/,Extract
79,BROWN ALE,Mike’s Mild,['OG: 1.045 (11.25°P)'],https://www.homebrewersassociation.org/homebrew-recipe/mikes-mild/,Extract
80,IPA,Wry Smile Rye IPA,"['ABV: 7.20%', 'IBU: 77', 'SRM: 12']",https://www.homebrewersassociation.org/homebrew-recipe/wry-smile-rye-ipa/,Extract
81,BRAGGOT,Valhalla Honey Beer,"['ABV: 15% by volume', 'IBU: 35', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/valhalla-honey-beer/,Extract
82,AMERICAN BROWN ALE,Chomolungma Brown Ale,"['ABV: 6.50%', 'IBU: 25', 'SRM: 25']",https://www.homebrewersassociation.org/homebrew-recipe/chomolungma-brown-ale/,Extract
83,HYBRID BEER,Klosterman,"['ABV: 5.20%', 'IBU: 10', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/klosterman/,Extract
84,SPICE & HERB BEER,Holiday Pumpkin Ale,"['ABV: 7.40%', 'IBU: 19', 'SRM: 12']",https://www.homebrewersassociation.org/homebrew-recipe/holiday-pumpkin-ale/,Extract
85,DARK LAGER,Schwarzer Geist Dark Lager,"['ABV: 4.90%', 'IBU: 29.6', 'SRM: 28.7']",https://www.homebrewersassociation.org/homebrew-recipe/schwarzer-geist-dark-lager/,Extract
86,BOCK,Barrel-Aged Mark of the Beast Doppelbock,"['ABV: 10%', 'IBU: 22', 'SRM: 18']",https://www.homebrewersassociation.org/homebrew-recipe/barrel-aged-mark-of-the-beast-doppelbock/,Extract
87,HAZY / NEW ENGLAND IPA,Four-Two-Oh NEIPA,"['ABV: 8.2% by volume', 'IBU: 84', 'SRM: 5-6']",https://www.homebrewersassociation.org/homebrew-recipe/four-two-oh-neipa/,Extract
88,ENGLISH IPA,Briess RoastOat Red,"['ABV: 4.5% by volume', 'IBU: 20', 'SRM: 9']",https://www.homebrewersassociation.org/homebrew-recipe/briess-roastoat-red/,Extract
89,HISTORICAL BEER,Princesse Beer 1866,"['ABV: 4% by volume', 'IBU: 40', 'SRM: 8.6']",https://www.homebrewersassociation.org/homebrew-recipe/princesse-beer-1866/,Extract
90,HISTORICAL BEER,Bjørne Røthe’s Vossaøl,"['ABV: 10.4% by volume', 'SRM: 7', 'OG: 1.097 (23.1°P), estimated']",https://www.homebrewersassociation.org/homebrew-recipe/bjorne-rothes-vossaol/,Extract
91,AMERICAN LAGER,Joker’s #1 Light Lager,"['ABV: 4.20%', 'IBU: 12', 'SRM: 2']",https://www.homebrewersassociation.org/homebrew-recipe/jokers-1-light-lager/,Extract
92,HELLES,Old Helen Helles Exportbier,"['ABV: 5.30%', 'IBU: 28', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/old-helen-helles-exportbier/,Extract
93,GERMAN PILSNER,SunRaker German Pils,"['ABV: 5.10%', 'IBU: 48', 'SRM: 4.1']",https://www.homebrewersassociation.org/homebrew-recipe/sunraker-german-pils/,Extract
94,AMBER LAGER,Winnebago International Amber Lager,"['ABV: 5.60%', 'IBU: 31', 'SRM: 9.7']",https://www.homebrewersassociation.org/homebrew-recipe/winnebago-international-amber-lager/,Extract
95,DARK LAGER,May the Schwartz Be With You,"['ABV: 5.30%', 'IBU: 30', 'SRM: 28']",https://www.homebrewersassociation.org/homebrew-recipe/may-the-schwartz-be-with-you/,Extract
96,BELGIAN ALE,Four the Win (FTW) Belgian Dark Strong,"['ABV: 9%', 'IBU: 32', 'SRM: 25']",https://www.homebrewersassociation.org/homebrew-recipe/four-the-win-ftw-belgian-dark-strong/,Extract
97,FRUIT BEER,Tropic Sun Sour,"['ABV: 6.30%', 'IBU: 10', 'FG: 1.010 (2.6°P)']",https://www.homebrewersassociation.org/homebrew-recipe/tropic-sun-sour/,Extract
98,IMPERIAL STOUT,Richard’s Brownie Batter Imperial Stout,"['ABV: 8.30%', 'IBU: 52', 'SRM: 40']",https://www.homebrewersassociation.org/homebrew-recipe/richards-brownie-batter-imperial-stout/,Extract
99,AMBER ALE,Blootered Bastart Barrel-aged Wee Heavy,"['ABV: 10%', 'IBU: 26', 'SRM: 24']",https://www.homebrewersassociation.org/homebrew-recipe/blootered-bastart-barrel-aged-wee-heavy/,Extract
100,FRUIT BEER,Catharina’s Passion Sour,"['ABV: 4%', 'IBU: 7', 'SRM: 2-3']",https://www.homebrewersassociation.org/homebrew-recipe/catharinas-passion-sour/,Extract
101,AMERICAN PALE ALE,Angie’s Bursting Citra II (AKA Juice),"['ABV: 6.30%', 'IBU: 70', 'SRM: 4.2']",https://www.homebrewersassociation.org/homebrew-recipe/angies-bursting-citra-ii-aka-juice/,Extract
102,MARZEN,Pickelhaube Festbier,"['ABV: 5.90%', 'IBU: 21', 'SRM: 4.1']",https://www.homebrewersassociation.org/homebrew-recipe/pickelhaube-festbier/,Extract
103,BERLINER WEISSE,Pucker Up Baby Berliner Weisse,"['ABV: 3%', 'IBU: 6', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/pucker-up-baby-berliner-weisse/,Extract
104,IPA,Three Floyds Brewing Zombie Dust IPA Clone,"['ABV: 6.20%', 'IBU: 77', 'SRM: 8']",https://www.homebrewersassociation.org/homebrew-recipe/three-floyds-brewing-zombie-dust-ipa-clone/,Extract
105,IPA,Cigar City Jai Alai IPA Classic Clone,"['ABV: 7.50%', 'IBU: 70', 'SRM: 10']",https://www.homebrewersassociation.org/homebrew-recipe/cigar-city-jai-alai-ipa-classic-clone/,Extract
106,CHOCOLATE BEER,Curse Stout,"['ABV: 6% by volume', 'IBU: 35', 'SRM: 32']",https://www.homebrewersassociation.org/homebrew-recipe/curse-stout/,Extract
107,HISTORICAL BEER,Boscos Famous Flaming Stone,"['ABV: 5.10%', 'IBU: 13', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/boscos-famous-flaming-stone/,Extract
108,BELGIAN ALE,Saison Capitale,"['ABV: 7.7% by volume', 'IBU: 40', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/saison-capitale/,Extract
109,FRUIT BEER,Tropicalia Catharina Sour,"['ABV: 5% by volume', 'IBU: 5', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/tropicalia-catharina-sour/,Extract
110,AMERICAN PALE ALE,We Don’t Need No Stinkin’ IBUs,"['ABV: 5.1% by volume', 'SRM: 7ish', 'OG: 1.050 (12 °P)']",https://www.homebrewersassociation.org/homebrew-recipe/we-dont-need-no-stinkin-ibus/,Extract
111,IPA,Blinky Session IPA,"['ABV: 4%', 'IBU: 46', 'SRM: 14']",https://www.homebrewersassociation.org/homebrew-recipe/blinky-session-ipa/,Extract
112,AMERICAN PORTER,Eubayanus Brown Porter,"['ABV: 3.70%', 'IBU: 29', 'SRM: 28']",https://www.homebrewersassociation.org/homebrew-recipe/eubayanus-brown-porter/,Extract
113,DARK LAGER,Austrian Expat Dark Mexican Lager,"['ABV: 5.20%', 'IBU: 28', 'SRM: 13']",https://www.homebrewersassociation.org/homebrew-recipe/austrian-expat-dark-mexican-lager/,Extract
114,HELLES,Probably the Best Beer in the…House,"['ABV: 4.6% by volume', 'IBU: 20', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/probably-the-best-beer-in-thehouse/,Extract
115,BELGIAN ALE,Trappist Tripel,"['ABV: 9.5% by volume', 'IBU: 35', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/trappist-tripel/,Extract
116,IRISH STOUT,Mt. Brandon Irish Stout,"['ABV: 4.70%', 'IBU: 32', 'SRM: 28']",https://www.homebrewersassociation.org/homebrew-recipe/mt-brandon-irish-stout/,Extract
117,BROWN ALE,Aztec-style Brown Ale,"['ABV: 5%', 'IBU: 20']",https://www.homebrewersassociation.org/homebrew-recipe/aztec-style-brown-ale/,Extract
118,BARLEYWINE,Two Blue Dogs Barleywine,"['ABV: 10.20%', 'IBU: 90', 'FG: 1.022']",https://www.homebrewersassociation.org/homebrew-recipe/two-blue-dogs-barleywine/,Extract
119,HAZY / NEW ENGLAND IPA,Battlecow Galacticose New England IPA (Partial Mash),"['ABV: 8.10%', 'IBU: 70', 'SRM: 3-4']",https://www.homebrewersassociation.org/homebrew-recipe/battlecow-galacticose-new-england-ipa-partial-mash/,Extract
120,BLONDE ALE,Trans-Atlantic Blonde Ale,"['ABV: 4.80%', 'IBU: 24', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/trans-atlantic-blonde-ale/,Extract
121,HELLES,Helicious Helles,"['ABV: 5%', 'IBU: 19.1', 'FG: 1.012']",https://www.homebrewersassociation.org/homebrew-recipe/helicious-helles/,Extract
122,OLD ALE,Fortis Exordium Strong English Ale,"['ABV: 8.60%', 'IBU: 32', 'SRM: 33']",https://www.homebrewersassociation.org/homebrew-recipe/fortis-exordium-strong-english-ale/,Extract
123,BARLEYWINE,Bunga-Toggles Agave-laced Barleywine,"['ABV: 10.60%', 'IBU: 67', 'SRM: 15']",https://www.homebrewersassociation.org/homebrew-recipe/bunga-toggles-agave-laced-barleywine/,Extract
124,BALTIC PORTER,Black Hole Sun Baltic Porter,"['ABV: 9.30%', 'IBU: 43', 'SRM: 53']",https://www.homebrewersassociation.org/homebrew-recipe/black-hole-sun-baltic-porter/,Extract
125,BELGIAN ALE,Funkwerks Saison,"['ABV: 6.80%', 'IBU: 20', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/funkwerks-saison/,Extract
126,HAZY / NEW ENGLAND IPA,Corporal Catbox New England IPA,"['ABV: 6%', 'IBU: 69', 'SRM: 6.1']",https://www.homebrewersassociation.org/homebrew-recipe/corporal-catbox-new-england-ipa/,Extract
127,BELGIAN ALE,La Bomba Belgian Golden Strong,"['ABV: 7.60%', 'IBU: 24', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/la-bomba-belgian-golden-strong/,Extract
128,BROWN ALE,Gone for a Burton Brown Ale,"['ABV: 5.20%', 'IBU: 31', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/gone-for-a-burton-brown-ale/,Extract
129,HELLES,Deer Crossing Kellerbier,"['ABV: 4.80%', 'IBU: 17', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/deer-crossing-kellerbier/,Extract
130,IPA,“A2 Brew Tay” Brut IPA (Partial-Mash),"['ABV: 6.70%', 'IBU: 24', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/a2-brew-tay-brut-ipa-partial-mash/,Extract
131,BROWN ALE,Amahl’s English Brown Ale,"['ABV: 5%', 'IBU: 25', 'SRM: 18']",https://www.homebrewersassociation.org/homebrew-recipe/amahls-english-brown-ale/,Extract
132,AMBER LAGER,Strength In Numbers Dark Vienna Lager,"['ABV: 5%', 'IBU: 30', 'SRM: 21']",https://www.homebrewersassociation.org/homebrew-recipe/strength-in-numbers-dark-vienna-lager/,Extract
133,AMERICAN BROWN ALE,Betty’s Brown Ale,"['ABV: 5.50%', 'IBU: 28', 'SRM: 20']",https://www.homebrewersassociation.org/homebrew-recipe/bettys-brown-ale/,Extract
134,AMERICAN IPA,Sierra Nevada Resilience IPA,"['IBU: 64', 'SRM: 11', 'OG: 1.065 (16 P)']",https://www.homebrewersassociation.org/homebrew-recipe/sierra-nevada-resilience-ipa/,Extract
135,DARK LAGER,Puna Coast Black Lager,"['ABV: 4.80%', 'IBU: 22', 'SRM: 28 (56 EBC)']",https://www.homebrewersassociation.org/homebrew-recipe/beer-recipe-of-the-week-puna-coast-black-lager/,Extract
136,AMERICAN PALE ALE,Stone 7th Anniversary Ale,"['IBU: 77', 'OG: 1.078', 'FG: 1.015']",https://www.homebrewersassociation.org/homebrew-recipe/stone-7th-anniversary-ale/,Extract
137,AMBER ALE,Velveteen Caramel,"['IBU: 14', 'SRM: 29', 'OG: 1.053']",https://www.homebrewersassociation.org/homebrew-recipe/velveteen-caramel/,Extract
138,AMERICAN IPA,Bell’s Two Hearted Ale Clone,"['ABV: 6.70%', 'IBU: 55', 'SRM: 10']",https://www.homebrewersassociation.org/homebrew-recipe/bells-two-hearted-ale-clone/,Extract
139,FRUITED SOUR,Sun-Dried Sour,"['ABV: 5.50%', 'IBU: 15', 'SRM: 20']",https://www.homebrewersassociation.org/homebrew-recipe/sun-dried-sour/,Extract
